gene	condition	in_CPM_table	n_values	min_CPM	median_CPM	max_CPM	nonzero_values	B_CPM	E_CPM	M_CPM
NPNT	B7H3_CXCR2_CAR	True	3	0.0	0.149866	0.152357	2	0.152357	0.0	0.149866
NTF3	T_control	False	0							
NTF3	B7H3_CAR	False	0							
NTF3	B7H3_CXCR2_CAR	False	0							
PLEKHG6	T_control	True	3	0.0	0.0	0.0945981	1	0.0	0.0945981	0.0
PLEKHG6	B7H3_CAR	True	3	0.0357019	0.318611	0.459942	3	0.459942	0.318611	0.0357019
PLEKHG6	B7H3_CXCR2_CAR	True	3	0.0609426	0.172018	0.187332	3	0.0609426	0.172018	0.187332
PPA2	T_control	True	3	27.8538	29.4541	35.4495	3	27.8538	35.4495	29.4541
PPA2	B7H3_CAR	True	3	20.058	29.595	33.6717	3	29.595	33.6717	20.058
PPA2	B7H3_CXCR2_CAR	True	3	26.1472	29.7753	33.3775	3	29.7753	33.3775	26.1472
RGL1	T_control	True	3	0.283794	1.46241	3.60197	3	1.46241	0.283794	3.60197
RGL1	B7H3_CAR	True	3	1.45145	2.75965	5.81941	3	2.75965	1.45145	5.81941
RGL1	B7H3_CXCR2_CAR	True	3	1.15791	2.58027	5.6949	3	1.15791	2.58027	5.6949
SMG7	T_control	True	3	128.562	140.21	144.507	3	140.21	128.562	144.507
SMG7	B7H3_CAR	True	3	148.12	149.552	173.167	3	173.167	148.12	149.552
SMG7	B7H3_CXCR2_CAR	True	3	148.236	148.854	162.863	3	148.854	148.236	162.863
TBCK	T_control	True	3	16.0733	17.0276	17.6951	3	17.6951	17.0276	16.0733
TBCK	B7H3_CAR	True	3	14.6561	15.2804	16.8166	3	16.8166	14.6561	15.2804
TBCK	B7H3_CXCR2_CAR	True	3	16.2127	17.3845	17.7343	3	17.7343	16.2127	17.3845
TET2	T_control	True	3	86.9764	93.2744	94.7749	3	86.9764	93.2744	94.7749
TET2	B7H3_CAR	True	3	87.5626	92.5399	94.4514	3	87.5626	94.4514	92.5399
TET2	B7H3_CXCR2_CAR	True	3	78.2295	87.392	90.5239	3	87.392	90.5239	78.2295
TNFRSF1A	T_control	True	3	18.6295	32.3557	34.008	3	32.3557	34.008	18.6295
TNFRSF1A	B7H3_CAR	True	3	9.38961	18.0527	34.0561	3	18.0527	34.0561	9.38961
TNFRSF1A	B7H3_CXCR2_CAR	True	3	7.45582	26.7919	30.4713	3	30.4713	26.7919	7.45582
TSEN15	T_control	True	3	5.55715	8.08813	10.6897	3	5.55715	8.08813	10.6897
TSEN15	B7H3_CAR	True	3	8.46138	8.99193	9.08387	3	9.08387	8.99193	8.46138
TSEN15	B7H3_CXCR2_CAR	True	3	7.31078	8.04444	8.3925	3	8.04444	7.31078	8.3925
VWF	T_control	True	3	0.0	0.0774618	0.292481	2	0.292481	0.0	0.0774618
VWF	B7H3_CAR	True	3	0.0	0.0708025	0.107106	2	0.0	0.0708025	0.107106
VWF	B7H3_CXCR2_CAR	True	3	0.0	0.149866	0.215023	2	0.0	0.215023	0.149866
