gene	comparison	biological_replicate	numerator_CPM	denominator_CPM	log2_ratio	ratio_status
CD3G	single_vs_control	E	96.079	111.389	-0.21331372870415788	both_positive_descriptive_only
CD3G	single_vs_control	M	59.8721	93.9999	-0.650775348685894	both_positive_descriptive_only
CD3G	dual_vs_control	B	96.2284	104.818	-0.12335184050839498	both_positive_descriptive_only
CD3G	dual_vs_control	E	53.4977	111.389	-1.0580579963322603	both_positive_descriptive_only
CD3G	dual_vs_control	M	36.7546	93.9999	-1.35473440112289	both_positive_descriptive_only
CD3G	dual_vs_single	B	96.2284	63.8744	0.5912249068575998	both_positive_descriptive_only
CD3G	dual_vs_single	E	53.4977	96.079	-0.8447442676281024	both_positive_descriptive_only
CD3G	dual_vs_single	M	36.7546	59.8721	-0.7039590524369957	both_positive_descriptive_only
CD4	single_vs_control	B	49.4437	150.555	-1.6064320084191344	both_positive_descriptive_only
CD4	single_vs_control	E	143.021	188.534	-0.39859772512932745	both_positive_descriptive_only
CD4	single_vs_control	M	159.73	269.954	-0.757078293079886	both_positive_descriptive_only
CD4	dual_vs_control	B	102.384	150.555	-0.556300344791522	both_positive_descriptive_only
CD4	dual_vs_control	E	87.9013	188.534	-1.1008683137744852	both_positive_descriptive_only
CD4	dual_vs_control	M	97.4502	269.954	-1.4699765423617877	both_positive_descriptive_only
CD4	dual_vs_single	B	102.384	49.4437	1.0501316636276123	both_positive_descriptive_only
CD4	dual_vs_single	E	87.9013	143.021	-0.702270588645158	both_positive_descriptive_only
CD4	dual_vs_single	M	97.4502	159.73	-0.7128982492819012	both_positive_descriptive_only
CD8A	single_vs_control	B	572.171	373.245	0.6163234436363045	both_positive_descriptive_only
CD8A	single_vs_control	E	421.719	285.31	0.5637517081434311	both_positive_descriptive_only
CD8A	single_vs_control	M	96.1099	170.492	-0.8269470936582336	both_positive_descriptive_only
CD8A	dual_vs_control	B	685.579	373.245	0.8771999847650969	both_positive_descriptive_only
CD8A	dual_vs_control	E	406.437	285.31	0.5105014301759586	both_positive_descriptive_only
CD8A	dual_vs_control	M	89.5819	170.492	-0.928424874549749	both_positive_descriptive_only
CD8A	dual_vs_single	B	685.579	572.171	0.2608765411287925	both_positive_descriptive_only
CD8A	dual_vs_single	E	406.437	421.719	-0.05325027796747252	both_positive_descriptive_only
CD8A	dual_vs_single	M	89.5819	96.1099	-0.10147778089151527	both_positive_descriptive_only
CD8B	single_vs_control	B				gene_absent_from_processed_table
CD8B	single_vs_control	E				gene_absent_from_processed_table
CD8B	single_vs_control	M				gene_absent_from_processed_table
CD8B	dual_vs_control	B				gene_absent_from_processed_table
CD8B	dual_vs_control	E				gene_absent_from_processed_table
CD8B	dual_vs_control	M				gene_absent_from_processed_table
CD8B	dual_vs_single	B				gene_absent_from_processed_table
CD8B	dual_vs_single	E				gene_absent_from_processed_table
CD8B	dual_vs_single	M				gene_absent_from_processed_table
CD9	single_vs_control	B	0.143732	1.64521	-3.516818546691802	both_positive_descriptive_only
CD9	single_vs_control	E	1.23904	2.97984	-1.2660121056336893	both_positive_descriptive_only
CD9	single_vs_control	M	3.6059	4.84136	-0.4250529879053998	both_positive_descriptive_only
CD9	dual_vs_control	B	0.548484	1.64521	-1.5847503049985179	both_positive_descriptive_only
CD9	dual_vs_control	E	0.602064	2.97984	-2.307246108309196	both_positive_descriptive_only
CD9	dual_vs_control	M	2.06065	4.84136	-1.2323128910249204	both_positive_descriptive_only
CD9	dual_vs_single	B	0.548484	0.143732	1.9320682416932842	both_positive_descriptive_only
CD9	dual_vs_single	E	0.602064	1.23904	-1.041234002675507	both_positive_descriptive_only
CD9	dual_vs_single	M	2.06065	3.6059	-0.8072599031195204	both_positive_descriptive_only
COLGALT2	single_vs_control	B				gene_absent_from_processed_table
COLGALT2	single_vs_control	E				gene_absent_from_processed_table
COLGALT2	single_vs_control	M				gene_absent_from_processed_table
COLGALT2	dual_vs_control	B				gene_absent_from_processed_table
COLGALT2	dual_vs_control	E				gene_absent_from_processed_table
COLGALT2	dual_vs_control	M				gene_absent_from_processed_table
COLGALT2	dual_vs_single	B				gene_absent_from_processed_table
COLGALT2	dual_vs_single	E				gene_absent_from_processed_table
COLGALT2	dual_vs_single	M				gene_absent_from_processed_table
EDEM3	single_vs_control	B	68.5604	73.9608	-0.10938530324628187	both_positive_descriptive_only
EDEM3	single_vs_control	E	64.4658	51.3194	0.32902969049901604	both_positive_descriptive_only
EDEM3	single_vs_control	M	107.321	90.5917	0.2444816206732475	both_positive_descriptive_only
EDEM3	dual_vs_control	B	84.8923	73.9608	0.19887287291512068	both_positive_descriptive_only
EDEM3	dual_vs_control	E	52.4654	51.3194	0.03186200131789213	both_positive_descriptive_only
EDEM3	dual_vs_control	M	73.7344	90.5917	-0.2970410263884328	both_positive_descriptive_only
EDEM3	dual_vs_single	B	84.8923	68.5604	0.3082581761614023	both_positive_descriptive_only
EDEM3	dual_vs_single	E	52.4654	64.4658	-0.2971676891811239	both_positive_descriptive_only
EDEM3	dual_vs_single	M	73.7344	107.321	-0.5415226470616804	both_positive_descriptive_only
GALNT8	single_vs_control	B				gene_absent_from_processed_table
GALNT8	single_vs_control	E				gene_absent_from_processed_table
GALNT8	single_vs_control	M				gene_absent_from_processed_table
GALNT8	dual_vs_control	B				gene_absent_from_processed_table
GALNT8	dual_vs_control	E				gene_absent_from_processed_table
GALNT8	dual_vs_control	M				gene_absent_from_processed_table
GALNT8	dual_vs_single	B				gene_absent_from_processed_table
GALNT8	dual_vs_single	E				gene_absent_from_processed_table
GALNT8	dual_vs_single	M				gene_absent_from_processed_table
GIMD1	single_vs_control	B				gene_absent_from_processed_table
GIMD1	single_vs_control	E				gene_absent_from_processed_table
GIMD1	single_vs_control	M				gene_absent_from_processed_table
GIMD1	dual_vs_control	B				gene_absent_from_processed_table
GIMD1	dual_vs_control	E				gene_absent_from_processed_table
GIMD1	dual_vs_control	M				gene_absent_from_processed_table
GIMD1	dual_vs_single	B				gene_absent_from_processed_table
GIMD1	dual_vs_single	E				gene_absent_from_processed_table
GIMD1	dual_vs_single	M				gene_absent_from_processed_table
GSTCD	single_vs_control	B	7.24408	3.54634	1.0304716197001718	both_positive_descriptive_only
GSTCD	single_vs_control	E	3.25691	2.64875	0.29819217089514644	both_positive_descriptive_only
GSTCD	single_vs_control	M	5.6409	3.87309	0.5424403355155945	both_positive_descriptive_only
GSTCD	dual_vs_control	B	3.9308	3.54634	0.14849210189776263	both_positive_descriptive_only
GSTCD	dual_vs_control	E	6.88073	2.64875	1.377249950863478	both_positive_descriptive_only
GSTCD	dual_vs_control	M	12.4763	3.87309	1.687633217547444	both_positive_descriptive_only
GSTCD	dual_vs_single	B	3.9308	7.24408	-0.8819795178024092	both_positive_descriptive_only
GSTCD	dual_vs_single	E	6.88073	3.25691	1.0790577799683314	both_positive_descriptive_only
GSTCD	dual_vs_single	M	12.4763	5.6409	1.1451928820318498	both_positive_descriptive_only
