window_bp	observed_n	p50	p55	p90
500	3000	0.9937155200839043	1.011982462131977	1.2407609352350235
1000	3000	0.9906137723624706	1.0058275670707226	1.2392330532848836
2000	3000	0.9910560287237167	1.0052550907142461	1.256718149396777
