genes	bootstrap_n	gated_CPM_p025	gated_CPM_p50	gated_CPM_p975
ANO2/NTF3	2000	0.10319659525468032	0.11410172033504704	0.12577002619705696
LOC119876429/LOC119872513	2000	0.10930463395352005	0.1215130969559309	0.13549270732047153
NPNT/TBCK	2000	0.10828975139367007	0.12370673286771146	0.14019507199097878
