gene_id	B_B7H3_CAR_T	B_BC_CAR_T	B_T_cell	E_B7H3_CAR_T	E_BC_CAR_T	E_T_cell	M_B7H3_CAR_T	M_BC_CAR_T	M_T_cell
gene-CD226	2893	4896	4526	4401	2335	4002	2028	1181	2842
gene-LOC119870700	2	21	6	10	0	4	0	0	1
gene-DOK6	11	23	19	23	7	23	0	1	0
gene-LOC119870703	0	0	0	0	0	0	0	0	0
gene-LOC119870701	0	0	0	0	0	0	0	0	0
gene-LOC119870702	0	0	0	0	0	0	0	0	0
gene-CCDC102B	7	0	0	4	1	0	0	0	0
gene-LOC100686410	0	0	0	0	0	0	0	0	0
gene-TMX3	1462	1874	1592	1541	1051	1156	1172	1052	1171
gene-LOC106557620	202	235	194	193	166	150	119	155	151
gene-LOC111090592	0	0	0	0	4	0	0	0	0
gene-LOC483943	0	0	0	0	0	0	0	0	0
gene-DSEL	4	1	6	0	0	0	0	2	2
gene-LOC100686719	0	0	0	0	0	0	0	0	0
gene-LOC111090594	0	0	0	0	0	0	0	0	0
gene-LOC483946	0	0	0	0	0	0	0	0	0
gene-LOC483947	0	0	0	0	0	0	0	0	0
gene-LOC119870629	0	0	0	0	0	0	0	0	0
gene-LOC119870085	0	0	0	0	0	0	0	0	0
gene-LOC100686966	0	0	0	0	0	0	0	0	0
gene-CDH19	0	0	0	0	0	0	0	0	0
gene-LOC102154255	0	0	0	0	0	0	0	0	0
gene-LOC119869888	0	0	0	0	0	0	0	0	0
gene-LOC111090601	0	0	0	0	0	0	0	0	0
gene-LOC100684751	0	0	0	0	0	0	0	0	0
gene-CDH7	0	0	0	0	0	0	0	0	0
gene-LOC119870704	0	0	0	0	0	0	0	0	0
gene-LOC111093764	0	0	0	0	0	0	0	0	0
gene-LOC119878149	0	0	0	0	0	0	0	0	0
gene-LOC111093811	0	0	0	0	0	0	0	0	0
gene-SERPINB8	51	71	75	1	8	17	66	74	101
gene-SERPINB10	0	0	0	0	0	0	0	0	2
gene-SERPINB2	0	0	0	0	0	0	1	2	2
gene-LOC111093874	0	2	1	0	0	0	0	0	0
gene-SERPINB7	0	0	0	0	0	0	0	0	0
gene-LOC111093968	0	0	0	0	0	0	0	0	0
gene-SERPINB11	0	0	0	0	0	0	0	0	0
gene-LOC483954	0	0	0	0	0	0	0	0	0
gene-SERPINB13	0	0	0	0	0	0	0	0	0
gene-SERPINB12	0	0	0	0	0	0	0	0	3
gene-SERPINB5	12	3	8	16	13	23	20	16	8
gene-LOC119870705	4	0	0	0	0	0	0	0	0
gene-VPS4B	3077	2877	2381	2451	2034	1721	2370	2360	2230
gene-KDSR	563	595	491	577	498	574	513	629	552
gene-BCL2	1540	1278	2005	2216	1058	2308	809	617	1410
gene-LOC111094459	3	12	11	21	3	19	43	7	32
gene-LOC119870706	0	7	1	3	0	6	9	4	3
gene-LOC111094480	6	4	10	52	16	37	15	9	3
gene-LOC111094334	10	6	9	11	8	16	0	3	2
gene-LOC119870631	102	54	93	94	73	112	24	27	36
gene-LOC111094496	0	0	0	0	0	2	0	0	0
gene-LOC119870707	1	0	1	3	0	3	0	3	0
gene-LOC100687530	0	0	0	0	0	0	0	0	0
gene-PHLPP1	401	338	128	205	190	215	230	142	306
gene-LOC119870708	59	42	16	24	18	31	24	22	39
gene-LOC119870709	0	0	0	1	0	0	0	0	0
gene-LOC102155763	0	0	0	1	0	0	0	0	0
gene-LOC119870632	4	6	0	7	0	3	0	1	5
gene-LOC111094566	17	1	15	4	8	20	3	7	0
gene-ZCCHC2	2015	1826	1638	2193	1752	1562	2405	2509	1996
gene-LOC119870710	0	0	0	0	1	0	1	0	0
gene-TNFRSF11A	21	31	41	58	33	80	35	25	65
gene-LOC106558834	0	0	0	0	0	0	0	0	0
gene-LOC100687907	6	1	3	2	7	12	1	0	1
gene-RELCH	780	1002	905	869	581	585	617	472	652
gene-PPIAP1	0	8	3	5	3	3	11	1	0
gene-LOC119869845	0	0	0	0	0	0	0	0	0
gene-PIGN	595	643	486	681	410	474	351	402	338
gene-LOC102153530	1	1	2	5	0	0	1	3	0
gene-LOC119870634	0	0	0	0	0	0	0	0	0
gene-LOC100682754	0	0	0	0	0	0	0	0	0
gene-LOC609896	1	8	0	0	0	1	0	2	0
gene-LOC111090609	0	0	0	0	0	0	0	0	0
gene-RNF152	0	0	9	2	5	1	0	0	0
gene-LOC111094787	0	0	0	0	0	0	0	0	0
gene-LOC119881368	0	0	0	0	0	0	0	0	0
gene-LOC119881369	0	0	0	0	0	0	0	0	0
gene-LOC119870711	0	0	0	0	0	0	0	0	0
gene-LOC119870712	0	0	0	0	0	0	0	0	0
gene-LOC119870635	0	0	0	0	0	0	0	0	0
gene-CDH20	0	0	0	6	4	8	0	11	0
gene-LOC111094796	0	0	0	0	1	5	0	3	0
gene-LOC119870714	0	0	0	0	0	0	0	0	0
gene-LOC119870713	0	0	0	0	0	0	0	0	0
gene-LOC119870715	0	0	0	0	0	0	0	2	0
gene-LOC111090610	0	0	0	0	0	0	0	0	0
gene-LOC119869959	0	0	0	0	0	0	0	0	0
gene-LOC100688146	0	0	0	0	0	0	0	0	0
gene-LOC483960	0	0	0	0	0	0	0	0	0
gene-MC4R	0	0	0	0	0	0	0	0	0
gene-LOC100688291	0	0	0	0	0	0	0	0	0
gene-LOC119869864	0	0	0	0	0	0	0	0	0
gene-PMAIP1	528	514	298	675	369	336	754	761	433
gene-LOC119870716	0	0	0	0	0	0	0	0	0
gene-CCBE1	0	0	0	0	0	0	0	0	0
gene-LOC119870717	0	0	0	0	0	0	0	0	0
gene-LOC119872244	0	0	0	0	0	0	0	0	0
gene-LMAN1	2686	2589	3010	2467	1989	1669	7965	6282	3851
gene-CPLX4	0	0	0	0	0	0	3	1	0
gene-RAX	0	0	0	0	0	0	3	1	3
gene-LOC119869927	0	0	0	0	0	0	0	0	0
gene-GRP	0	0	0	0	0	0	0	0	0
gene-SEC11C	4091	3752	3897	3305	2156	2735	6406	5290	4263
gene-LOC119870637	0	0	0	0	0	0	0	0	0
gene-LOC610160	0	0	0	0	0	0	0	0	0
gene-ZNF532	7	5	10	17	13	29	31	12	13
gene-LOC119870718	6	7	29	21	10	32	12	11	29
gene-MALT1	3231	3889	4344	4009	2205	3221	4009	2678	4564
gene-LOC100684262	0	0	1	1	0	0	4	0	1
gene-LOC119869880	0	0	0	0	0	1	0	0	0
gene-ALPK2	100	267	420	346	118	346	310	129	463
gene-LOC102151902	27	52	64	91	27	53	84	36	118
gene-LOC119881373	0	0	0	0	0	0	0	0	0
gene-MIR122	0	0	0	0	0	0	0	0	0
rna-NR_049246.1	0	0	0	0	0	0	0	0	0
gene-NEDD4L	757	640	539	573	520	447	926	944	803
gene-LOC119870720	0	0	0	0	0	0	0	0	0
gene-LOC119870721	0	0	0	0	0	0	0	4	0
gene-LOC111097471	0	0	0	0	0	0	0	0	0
gene-ATP8B1	85	155	110	73	16	81	795	488	591
gene-LOC111095132	0	9	6	1	2	9	85	45	64
gene-NARS1	4399	3315	2205	2884	3288	1654	3661	4691	2414
gene-FECH	710	677	576	1452	1268	1160	653	967	714
gene-ONECUT2	64	53	54	66	158	59	332	573	114
gene-LOC119870722	1	0	0	3	0	2	2	1	3
gene-ST8SIA3	0	0	0	3	0	0	1	0	0
gene-WDR7	1194	1121	844	840	825	573	1425	1180	1073
gene-LOC111095146	0	0	0	0	0	0	0	0	0
gene-LOC612779	2	0	2	1	1	0	1	0	0
gene-TXNL1	4532	3176	2378	2972	2813	1947	4184	4531	3025
gene-LOC119869865	0	0	0	0	0	0	5	7	0
gene-LOC111095152	0	0	0	0	0	0	0	0	0
gene-LOC111095155	0	0	0	0	0	0	0	0	0
gene-LOC111090613	0	0	0	0	0	0	0	0	0
gene-LOC102153304	0	0	0	0	0	0	0	0	0
gene-LOC111090614	0	0	0	0	0	0	0	0	0
gene-LOC119870639	0	0	0	0	0	0	0	0	0
gene-LOC111090615	0	0	0	0	0	0	0	0	0
gene-LOC102153337	0	0	0	0	0	0	0	0	0
gene-LOC119870640	0	0	0	0	0	0	0	0	0
gene-TCF4	137	203	387	88	25	119	1955	1223	877
gene-CCDC68	0	0	0	0	0	0	0	0	0
gene-LOC111095166	0	0	0	0	0	0	0	0	0
gene-RAB27B	75	68	44	26	46	5	0	7	9
gene-LOC610632	0	0	0	0	0	0	0	0	0
gene-LOC111095168	0	1	0	0	0	0	0	0	1
gene-LOC111095182	0	0	1	0	0	1	0	0	0
gene-CUPIN1	2	1	0	4	1	1	0	3	0
gene-C1H18orf54	572	498	310	496	445	391	570	544	471
gene-STARD6	226	342	273	358	177	340	261	215	341
gene-LOC100683370	776	754	770	645	563	484	536	421	636
gene-POLI	191	405	289	332	169	297	252	169	253
gene-LOC102154410	101	190	125	170	95	85	139	77	99
gene-MBD2	9524	6757	5520	5583	5126	4096	5396	5365	5700
gene-LOC106559491	1	5	2	2	1	0	2	3	0
gene-LOC119870641	0	0	0	0	0	0	0	0	0
gene-LOC119869910	0	0	0	0	0	0	0	0	0
gene-LOC102154621	0	0	0	0	0	0	0	0	0
gene-LOC119870642	0	0	0	0	0	0	0	0	0
gene-DCC	0	3	0	0	0	0	0	1	1
gene-LOC119869846	0	0	0	0	0	0	0	0	0
gene-LOC119869925	0	0	0	0	0	0	0	0	0
gene-LOC119869917	0	0	0	0	0	0	0	0	0
gene-LOC106558192	0	0	0	0	0	0	0	0	0
gene-LOC111090624	0	0	0	0	0	0	0	0	0
gene-LOC100683470	0	0	0	0	0	0	0	0	0
gene-LOC106559494	0	0	0	0	0	0	0	0	0
gene-LOC111095203	0	0	0	0	0	0	0	0	0
gene-LOC102154698	0	0	0	0	0	0	0	0	0
gene-LOC119869847	0	0	0	0	0	0	0	0	0
gene-LOC119870725	0	0	0	0	0	0	0	0	0
gene-LOC119870724	0	0	0	0	0	0	0	0	0
gene-LOC119870726	0	0	0	0	0	0	0	0	0
gene-MEX3C	2635	2073	1691	1901	1826	1290	1731	1956	1572
gene-SMAD4	1807	2299	1895	1966	1228	1516	1571	1355	1556
gene-ELAC1	1534	1760	1241	1485	1006	1333	1128	1162	988
gene-LOC111095221	409	301	225	233	282	162	278	446	243
gene-ME2	2871	1758	1346	1490	1645	963	2002	2669	1644
gene-MRO	3	0	0	0	0	0	0	0	0
gene-LOC106559532	0	0	0	0	1	0	0	0	0
gene-MC2R	0	0	0	0	0	0	0	0	0
gene-MC5R	0	0	0	2	0	0	0	0	0
gene-RNMT	2620	2247	1491	1831	1635	1174	2160	2030	1375
gene-FAM210A	460	449	385	378	340	338	405	382	451
gene-LDLRAD4	0	7	44	0	0	10	46	18	41
gene-LOC119870728	0	2	0	0	0	1	0	0	0
gene-LOC119870645	0	0	0	0	0	0	0	0	0
gene-CCN2	0	0	0	0	0	0	0	0	0
gene-LOC119870729	0	0	0	0	0	0	0	0	0
gene-LOC102156553	0	0	0	0	1	0	0	0	0
gene-LOC100686253	0	0	0	0	1	0	0	0	0
gene-LOC111095255	0	0	0	0	0	0	0	0	0
gene-LOC119869954	0	0	0	0	0	0	0	0	0
gene-LOC111095250	0	0	0	0	0	0	0	0	0
gene-LOC476204	0	0	0	1	0	0	0	0	0
gene-LOC119870646	0	0	0	0	0	0	0	0	0
gene-LOC491231	0	0	0	1	2	0	0	0	1
gene-LOC100684412	7	1	1	0	0	0	1	3	1
gene-MOXD1	0	0	0	0	0	0	0	0	1
gene-LOC111095249	0	0	0	0	0	0	0	0	0
gene-LOC119869889	0	0	0	0	0	0	0	0	0
gene-LOC119870730	0	0	0	0	0	0	0	0	0
gene-STX7	681	850	1058	682	407	625	1864	1546	1540
gene-LOC119870647	0	0	0	0	0	5	0	0	0
gene-TAAR5	0	0	0	0	0	0	0	0	0
gene-TAAR4	0	0	0	0	0	0	0	0	0
gene-LOC100686959	0	0	0	0	0	0	0	0	0
gene-LOC119870995	0	0	0	0	0	0	0	0	0
gene-LOC119881354	0	0	0	0	0	0	0	0	0
gene-LOC119879232	0	0	0	0	0	0	0	0	0
gene-LOC119881370	0	0	0	0	0	0	0	0	0
gene-LOC119881355	0	0	0	0	0	0	0	0	0
gene-LOC119875955	0	0	0	0	0	0	0	0	0
gene-LOC119874067	0	0	1	0	1	0	0	0	0
gene-VNN1	26	44	15	16	6	6	48	14	47
gene-LOC119869965	0	0	0	0	0	0	0	0	0
gene-VNN3	0	0	0	0	0	0	0	0	0
gene-LOC119875957	9	20	2	0	1	0	15	0	20
gene-LOC119870648	6	3	1	8	2	4	11	6	11
gene-LOC119876023	0	0	0	0	0	0	0	0	0
gene-LOC119876022	0	0	0	0	0	0	0	0	0
gene-LOC102155332	0	1	0	0	0	0	0	0	0
gene-SLC18B1	85	87	48	10	4	18	23	3	26
gene-LOC111095265	209	218	150	167	179	113	125	230	117
gene-RPS12	28091	27454	19836	22384	18710	15203	20995	22371	17049
gene-LOC119869906	37	54	31	33	49	34	38	39	18
gene-LOC119869922	14	23	20	31	17	15	12	26	19
gene-LOC119869914	14	8	11	23	17	12	14	25	8
gene-LOC119869895	4	2	0	0	1	0	2	0	0
gene-LOC119871045	0	0	0	0	0	0	0	0	0
gene-LOC119870731	0	0	0	0	0	0	0	0	0
gene-LOC111095273	0	0	0	0	0	0	0	0	0
gene-LOC476208	0	0	0	0	0	0	0	0	0
gene-LOC119870732	0	0	0	0	0	0	0	0	0
gene-LOC111095280	0	0	0	0	0	0	0	0	0
gene-EYA4	0	0	0	0	0	0	0	0	0
gene-LOC111095294	0	0	0	0	0	0	0	0	0
gene-LOC100684703	0	0	0	0	0	0	0	1	0
gene-LOC102156588	0	0	0	0	0	0	0	0	0
gene-LOC119869957	0	0	0	0	0	0	0	0	0
gene-LOC119875901	0	0	0	0	0	0	0	1	0
gene-TCF21	0	0	4	4	0	4	1	4	0
gene-LOC119870649	0	0	0	0	0	3	0	0	0
gene-LOC119881371	0	0	0	0	0	2	0	0	0
gene-TBPL1	425	396	269	363	253	229	331	403	373
gene-SLC2A12	6	7	3	13	1	3	9	3	5
gene-LOC119869951	0	0	0	0	0	0	0	0	0
gene-SGK1	1642	2212	1311	1077	1089	717	1855	2376	1129
gene-LOC119869853	0	0	0	0	0	0	0	0	0
gene-LOC119870650	0	0	0	0	0	0	0	0	0
gene-LOC106558449	17	21	26	2	2	3	4	3	19
gene-LOC106559542	0	0	0	0	0	0	0	0	0
gene-LOC111095317	0	6	0	0	0	0	0	0	0
gene-LOC119870651	0	1	1	2	0	0	3	4	7
gene-ALDH8A1	72	94	41	36	23	39	110	63	23
gene-HBS1L	3399	3435	2447	2703	2389	1560	3122	2843	2152
gene-LOC100684930	0	0	0	0	0	0	0	0	0
gene-MYB	1830	1308	311	910	1568	302	1354	1738	972
gene-LOC111095371	694	511	133	303	545	87	448	548	316
gene-AHI1	1262	1010	1078	1001	750	673	1703	1380	1538
gene-LOC102156675	0	2	0	0	0	0	0	0	0
gene-LOC119870735	0	0	0	0	0	2	2	3	0
gene-LOC119870734	0	0	0	0	2	0	1	0	0
gene-LOC102153001	61	66	58	46	34	45	59	36	75
gene-LOC102152959	0	0	0	0	0	0	0	0	0
