gene_id	B_B7H3_CAR_T	B_BC_CAR_T	B_T_cell	E_B7H3_CAR_T	E_BC_CAR_T	E_T_cell	M_B7H3_CAR_T	M_BC_CAR_T	M_T_cell
gene-RTTN	2312	1322	1052	1262	1430	917	1233	1499	881
gene-CD226	5663	9823	8927	8693	4716	7808	4048	2355	5727
gene-LOC119870700	3	19	8	6	0	11	0	0	2
gene-DOK6	19	21	41	32	16	48	0	1	5
gene-LOC119870703	0	0	0	0	0	0	0	0	0
gene-LOC119870701	0	0	0	0	0	0	0	0	0
gene-LOC119870702	0	0	0	0	0	0	0	0	0
gene-CCDC102B	13	0	0	4	2	0	0	0	0
gene-LOC100686410	1	7	1	3	1	2	1	2	0
gene-TMX3	2284	3450	2790	2579	1851	2045	2142	1860	2059
gene-LOC106557620	43	100	35	53	48	28	38	42	25
gene-LOC111090592	0	0	0	0	7	0	0	0	0
gene-LOC483943	0	0	0	0	0	0	0	0	0
gene-DSEL	7	2	8	0	0	0	0	3	4
gene-LOC100686719	0	0	0	0	0	0	0	0	0
gene-LOC111090594	0	0	0	0	0	0	0	0	0
gene-LOC483946	4	0	0	0	0	1	0	0	0
gene-LOC483947	0	0	0	0	0	0	0	0	0
gene-LOC119870629	0	0	0	0	0	0	0	0	0
gene-LOC119870085	0	0	0	0	0	0	0	0	0
gene-LOC100686966	0	0	0	0	0	0	0	0	0
gene-CDH19	0	0	0	0	0	0	0	0	0
gene-LOC102154255	0	0	0	0	0	0	0	0	0
gene-LOC119869888	0	0	0	0	0	0	0	0	0
gene-LOC111090601	0	0	0	0	0	0	0	0	0
gene-LOC100684751	0	0	0	0	0	0	0	0	0
gene-CDH7	0	0	0	0	0	0	0	0	0
gene-LOC119870704	0	0	0	0	0	0	0	0	0
gene-LOC111093764	0	0	0	0	0	0	0	0	0
gene-LOC119878149	0	0	0	0	0	0	0	0	0
gene-LOC111093811	0	0	0	0	0	0	0	0	0
gene-SERPINB8	95	115	150	1	13	30	167	142	187
gene-SERPINB10	0	0	0	0	0	0	0	0	4
gene-SERPINB2	5	0	0	0	0	0	1	3	7
gene-LOC111093874	0	2	4	0	0	0	0	0	0
gene-SERPINB7	0	0	0	0	0	0	0	0	0
gene-LOC111093968	0	0	0	0	0	0	0	0	0
gene-SERPINB11	0	0	0	0	0	0	0	0	0
gene-LOC483954	0	0	0	0	0	0	0	0	0
gene-SERPINB13	0	0	0	0	0	0	0	0	0
gene-SERPINB12	0	0	0	1	0	0	0	0	4
gene-SERPINB5	29	8	12	38	26	46	41	25	25
gene-LOC119870705	6	0	0	0	0	0	0	0	0
gene-VPS4B	6222	5923	4930	4894	3944	3449	4663	4938	4395
gene-KDSR	1141	1289	1005	1179	1002	1152	1015	1231	1118
gene-BCL2	3083	2544	4024	4309	2040	4494	1632	1309	2726
gene-LOC111094459	9	28	18	40	5	36	77	10	44
gene-LOC119870706	0	16	1	10	3	12	10	7	4
gene-LOC111094480	6	8	12	76	43	69	25	21	10
gene-LOC111094334	13	16	19	25	14	32	4	10	3
gene-LOC119870631	198	101	192	201	120	215	59	74	84
gene-LOC111094496	0	0	0	0	2	4	0	0	0
gene-LOC119870707	5	0	1	8	6	10	1	4	0
gene-LOC100687530	0	0	0	0	0	0	0	0	0
gene-PHLPP1	669	633	245	367	355	356	387	273	541
gene-LOC119870708	0	3	0	0	2	0	3	1	3
gene-LOC119870709	0	0	0	4	0	0	0	0	0
gene-LOC102155763	0	0	0	1	0	0	0	0	0
gene-LOC119870632	6	11	0	12	3	9	0	3	9
gene-LOC111094566	0	0	0	0	2	3	0	0	0
gene-ZCCHC2	3881	3575	3283	4250	3522	3051	4664	4899	3854
gene-LOC119870710	0	0	0	0	0	0	0	0	0
gene-TNFRSF11A	38	53	92	108	63	155	65	50	139
gene-LOC106558834	0	0	0	0	0	0	0	0	0
gene-LOC100687907	17	1	14	4	9	24	2	0	1
gene-RELCH	1540	1959	1744	1742	1169	1286	1224	958	1363
gene-PPIAP1	1	12	4	6	3	4	13	1	0
gene-LOC119869845	0	0	0	0	0	0	0	0	0
gene-PIGN	1144	1254	993	1353	802	926	713	843	652
gene-LOC102153530	6	17	3	12	0	6	11	9	1
gene-LOC119870634	0	0	0	0	0	0	0	0	0
gene-LOC100682754	0	0	0	0	0	0	0	0	0
gene-LOC609896	9	13	19	1	1	1	1	5	5
gene-LOC111090609	0	0	0	0	0	0	0	0	0
gene-RNF152	0	0	14	4	5	4	0	1	0
gene-LOC111094787	0	0	0	0	0	0	0	0	0
gene-LOC119881368	0	0	0	0	0	0	0	0	0
gene-LOC119881369	0	0	0	0	0	0	0	0	0
gene-LOC119870711	0	0	0	0	0	0	0	0	0
gene-LOC119870712	0	0	0	0	0	0	0	0	0
gene-LOC119870635	0	0	0	0	0	0	0	0	0
gene-CDH20	0	0	0	6	13	4	0	16	0
gene-LOC111094796	0	0	0	0	0	0	0	1	0
gene-LOC119870714	0	0	0	0	0	0	0	0	0
gene-LOC119870713	0	0	0	0	0	0	0	0	0
gene-LOC119870715	0	0	0	0	0	0	0	3	0
gene-LOC111090610	0	0	0	0	0	0	0	0	0
gene-LOC119869959	0	0	0	0	0	0	0	0	0
gene-LOC100688146	0	0	0	0	0	0	0	0	0
gene-LOC483960	0	0	0	0	0	0	0	0	0
gene-MC4R	0	0	0	0	0	0	0	0	0
gene-LOC100688291	6	0	1	5	2	0	0	8	2
gene-LOC119869864	0	0	0	0	0	0	0	0	0
gene-PMAIP1	1054	1025	600	1284	726	659	1511	1578	842
gene-LOC119870716	0	0	0	0	0	0	0	0	0
gene-CCBE1	0	0	0	0	0	0	5	1	0
gene-LOC119870717	0	0	0	0	0	0	0	0	0
gene-LOC119872244	0	0	0	0	0	0	0	0	0
gene-LMAN1	5230	5270	5940	4826	4010	3400	15755	12495	7551
gene-CPLX4	0	0	0	0	0	0	6	1	0
gene-RAX	0	0	1	0	0	0	6	3	4
gene-LOC119869927	0	0	0	0	0	0	0	0	0
gene-GRP	0	0	0	0	0	0	0	0	0
gene-SEC11C	8252	7371	7681	6518	4334	5672	12889	10508	8654
gene-LOC119870637	0	0	0	0	0	0	0	0	0
gene-LOC610160	0	0	0	0	0	0	0	0	0
gene-ZNF532	15	8	29	39	23	42	61	19	26
gene-LOC119870718	7	11	58	37	22	64	29	23	47
gene-MALT1	6198	7622	8697	7911	4417	6488	8007	5249	8754
gene-LOC100684262	0	0	1	4	1	0	5	0	1
gene-LOC119869880	0	0	0	0	0	1	0	0	0
gene-ALPK2	170	388	643	503	154	520	504	194	667
gene-LOC102151902	7	9	2	9	4	1	17	8	48
gene-LOC119881373	0	0	0	0	0	0	0	0	0
gene-MIR122	0	0	0	0	0	0	0	0	0
rna-NR_049246.1	0	0	0	0	0	0	0	0	0
gene-NEDD4L	1504	1307	1140	1119	1087	918	1921	1829	1621
gene-LOC119870720	0	0	0	0	0	0	0	0	0
gene-LOC119870721	0	0	0	0	0	0	0	4	0
gene-LOC111097471	0	0	0	0	0	0	0	0	0
gene-ATP8B1	154	278	224	122	26	143	1501	855	1101
gene-LOC111095132	0	0	4	1	0	2	21	8	12
gene-NARS1	8750	6596	4339	5770	6487	3296	7363	9148	4673
gene-FECH	1479	1353	1134	2947	2528	2270	1383	1834	1340
gene-ONECUT2	154	125	83	143	352	104	672	1195	223
gene-LOC119870722	0	0	0	0	0	0	0	0	7
gene-ST8SIA3	0	0	0	5	0	0	2	0	1
gene-WDR7	2333	2284	1742	1748	1571	1185	2893	2414	2269
gene-LOC111095146	0	0	0	0	0	0	2	0	0
gene-LOC612779	9	9	8	4	1	3	3	5	6
gene-TXNL1	9064	6351	4886	5927	5683	3909	8273	9144	6213
gene-LOC119869865	0	0	0	1	0	0	8	9	0
gene-LOC111095152	0	0	0	0	0	0	0	0	0
gene-LOC111095155	0	0	0	0	0	0	0	0	0
gene-LOC111090613	0	0	0	0	0	0	0	0	0
gene-LOC102153304	0	0	0	0	0	0	0	0	0
gene-LOC111090614	0	0	0	0	0	0	0	0	0
gene-LOC119870639	0	0	0	0	0	0	0	0	0
gene-LOC111090615	0	0	0	0	0	0	0	0	0
gene-LOC102153337	0	0	0	0	0	0	0	0	0
gene-LOC119870640	0	0	0	0	0	0	0	0	0
gene-TCF4	262	410	783	157	55	226	3847	2375	1805
gene-CCDC68	0	0	0	1	0	0	0	0	0
gene-LOC111095166	0	0	0	0	0	0	0	0	0
gene-RAB27B	173	154	93	61	109	19	4	16	11
gene-LOC610632	0	0	0	0	0	0	1	0	0
gene-LOC111095168	0	1	0	0	0	0	0	0	2
gene-LOC111095182	0	0	1	0	0	2	0	0	0
gene-CUPIN1	3	3	2	9	5	3	0	4	3
gene-C1H18orf54	1129	1021	668	1012	928	767	1139	1160	954
gene-STARD6	298	383	331	437	248	393	340	294	466
gene-LOC100683370	1601	1526	1577	1283	1126	1053	1068	817	1321
gene-POLI	180	468	363	399	193	345	279	193	269
gene-LOC102154410	202	342	266	338	197	176	288	154	212
gene-MBD2	19571	13519	11114	11159	10355	8270	10674	10871	11330
gene-LOC106559491	3	7	5	2	1	2	5	3	1
gene-LOC119870641	0	0	0	0	0	0	0	0	0
gene-LOC119869910	0	0	0	0	0	0	0	0	0
gene-LOC102154621	0	0	0	0	0	0	0	0	0
gene-LOC119870642	0	0	0	0	0	0	0	0	0
gene-DCC	0	5	0	0	0	0	0	2	4
gene-LOC119869846	0	0	0	0	0	0	0	0	0
gene-LOC119869925	0	0	0	0	0	0	0	0	0
gene-LOC119869917	0	0	0	0	0	0	0	0	0
gene-LOC106558192	5	0	0	1	0	0	0	0	0
gene-LOC111090624	0	0	0	0	0	0	0	0	0
gene-LOC100683470	0	0	0	0	0	0	0	0	0
gene-LOC106559494	0	0	0	0	0	0	0	0	0
gene-LOC111095203	0	0	0	0	0	0	0	0	0
gene-LOC102154698	0	0	0	0	0	0	0	0	0
gene-LOC119869847	0	0	0	0	0	0	0	0	0
gene-LOC119870725	0	0	0	0	0	0	0	0	0
gene-LOC119870724	0	0	0	0	0	0	0	0	0
gene-LOC119870726	0	0	0	0	0	0	0	0	0
gene-MEX3C	5210	4110	3345	3798	3646	2667	3390	3910	3123
gene-SMAD4	3706	4652	3676	3767	2508	2897	3225	2562	3101
gene-ELAC1	3012	3519	2467	3011	1971	2693	2225	2296	1995
gene-LOC111095221	16	7	0	5	2	4	8	2	1
gene-ME2	5019	2853	2321	2594	2895	1664	3385	4519	2619
gene-MRO	6	0	0	0	0	0	0	0	0
gene-LOC106559532	0	0	0	0	1	0	0	0	0
gene-MC2R	0	0	0	0	0	0	0	0	0
gene-MC5R	0	0	0	5	0	0	0	0	0
gene-RNMT	5155	4576	2977	3601	3265	2316	4397	4126	2848
gene-FAM210A	907	887	774	759	647	606	792	698	823
gene-LDLRAD4	0	13	86	3	0	12	76	51	77
gene-LOC119870728	0	0	0	0	5	3	3	0	0
gene-LOC119870645	0	0	0	0	0	0	0	0	0
gene-CCN2	11	13	12	7	0	4	3	3	6
gene-LOC119870729	0	0	0	0	0	0	0	0	0
gene-LOC102156553	0	0	0	0	1	0	0	0	0
gene-LOC100686253	0	0	0	1	2	0	0	0	0
gene-LOC111095255	0	0	0	0	0	0	0	0	0
gene-LOC119869954	0	0	0	0	0	0	0	0	0
gene-LOC111095250	0	0	0	0	0	0	0	0	0
gene-LOC476204	0	3	2	1	0	0	0	0	0
gene-LOC119870646	0	0	0	0	0	0	0	0	0
gene-LOC491231	1	2	0	1	3	0	0	0	1
gene-LOC100684412	8	1	1	0	0	0	1	3	1
gene-MOXD1	0	0	0	0	0	0	0	0	4
gene-LOC111095249	0	0	0	0	0	0	0	0	0
gene-LOC119869889	0	0	0	0	0	0	0	0	0
gene-LOC119870730	0	0	0	0	0	3	0	0	0
gene-STX7	1373	1683	2096	1281	806	1196	3824	3136	3033
gene-LOC119870647	0	0	0	0	0	5	0	0	0
gene-TAAR5	0	0	0	0	0	0	0	0	0
gene-TAAR4	0	0	0	0	0	0	0	0	0
gene-LOC100686959	0	0	0	0	0	0	0	0	0
gene-LOC119870995	0	0	0	0	0	0	0	0	0
gene-LOC119881354	0	0	0	0	0	0	0	0	0
gene-LOC119879232	0	0	0	0	0	0	0	0	0
gene-LOC119881370	0	0	0	0	0	0	0	0	0
gene-LOC119881355	0	0	0	0	0	0	0	0	0
gene-LOC119875955	0	0	0	0	0	0	0	0	0
gene-LOC119874067	0	0	1	0	1	1	0	0	0
gene-VNN1	47	85	36	36	11	14	96	25	112
gene-LOC119869965	0	0	0	0	0	0	0	0	0
gene-VNN3	0	0	0	0	0	0	0	0	0
gene-LOC119875957	21	31	4	1	3	1	24	4	54
gene-LOC119870648	15	8	3	14	3	11	21	7	21
gene-LOC119876023	0	0	0	0	0	0	0	0	0
gene-LOC119876022	0	0	0	0	0	0	0	0	0
gene-LOC102155332	0	1	0	0	0	0	0	0	0
gene-SLC18B1	190	157	107	17	9	33	48	27	48
gene-LOC111095265	432	443	315	314	365	212	242	410	263
gene-RPS12	56744	54554	39769	44640	37533	30918	41861	44881	34746
gene-LOC119869906	85	79	58	60	82	60	75	112	31
gene-LOC119869922	28	57	36	53	35	28	22	49	27
gene-LOC119869914	18	16	21	50	25	37	26	52	12
gene-LOC119869895	6	2	3	0	1	0	7	0	0
gene-LOC119871045	0	0	0	0	0	0	0	0	0
gene-LOC119870731	0	0	0	0	0	0	0	0	0
gene-LOC111095273	0	0	0	0	0	0	0	0	0
gene-LOC476208	0	0	0	0	0	0	0	0	0
gene-LOC119870732	0	0	0	0	0	0	0	0	0
gene-LOC111095280	0	0	0	0	0	0	0	0	0
gene-EYA4	0	0	2	0	0	0	0	0	2
gene-LOC111095294	0	0	0	0	0	0	0	0	0
gene-LOC100684703	0	0	0	0	0	0	0	3	0
gene-LOC102156588	0	0	0	0	0	0	0	0	0
gene-LOC119869957	0	0	0	0	0	0	0	0	0
gene-LOC119875901	0	0	0	0	0	0	0	2	0
gene-TCF21	0	0	7	6	0	22	4	9	0
gene-LOC119870649	0	0	0	0	0	0	0	0	0
gene-LOC119881371	0	0	0	0	0	0	0	0	0
gene-TBPL1	828	769	567	714	553	439	696	765	667
gene-SLC2A12	14	12	6	21	3	5	20	5	12
