gene_id	B_B7H3_CAR_T	B_BC_CAR_T	B_T_cell	E_B7H3_CAR_T	E_BC_CAR_T	E_T_cell	M_B7H3_CAR_T	M_BC_CAR_T	M_T_cell
gene-CD226	2770	4927	4401	4292	2381	3806	2020	1174	2885
gene-LOC119870700	1	24	7	12	2	7	0	0	1
gene-DOK6	8	24	27	25	11	26	0	0	5
gene-LOC119870703	0	0	0	0	0	0	0	0	0
gene-LOC119870701	0	0	0	0	0	0	0	0	0
gene-LOC119870702	0	0	0	0	0	0	0	0	0
gene-CCDC102B	6	0	0	0	1	0	0	0	0
gene-LOC100686410	1	7	1	3	1	2	1	2	0
gene-TMX3	1230	1928	1557	1376	1069	1163	1212	1092	1195
gene-LOC106557620	249	217	200	198	151	152	161	171	181
gene-LOC111090592	0	0	0	0	3	0	0	0	0
gene-LOC483943	0	0	0	0	0	0	0	0	0
gene-DSEL	3	1	2	0	0	0	0	1	2
gene-LOC100686719	0	0	0	0	0	0	0	0	0
gene-LOC111090594	0	0	0	0	0	0	0	0	0
gene-LOC483946	4	0	0	0	0	1	0	0	0
gene-LOC483947	0	0	0	0	0	0	0	0	0
gene-LOC119870629	0	0	0	0	0	0	0	0	0
gene-LOC119870085	0	0	0	0	0	0	0	0	0
gene-LOC100686966	0	0	0	0	0	0	0	0	0
gene-CDH19	0	0	0	0	0	0	0	0	0
gene-LOC102154255	0	0	0	0	0	0	0	0	0
gene-LOC119869888	0	0	0	0	0	0	0	0	0
gene-LOC111090601	0	0	0	0	0	0	0	0	0
gene-LOC100684751	0	0	0	0	0	0	0	0	0
gene-CDH7	0	0	0	0	0	0	0	0	0
gene-LOC119870704	0	0	0	0	0	0	0	0	0
gene-LOC111093764	0	0	0	0	0	0	0	0	0
gene-LOC119878149	0	0	0	0	0	0	0	0	0
gene-LOC111093811	0	0	0	0	0	0	0	0	0
gene-SERPINB8	44	44	75	0	5	13	101	68	86
gene-SERPINB10	0	0	0	0	0	0	0	0	2
gene-SERPINB2	5	0	0	0	0	0	0	1	5
gene-LOC111093874	0	0	3	0	0	0	0	0	0
gene-SERPINB7	0	0	0	0	0	0	0	0	0
gene-LOC111093968	0	0	0	0	0	0	0	0	0
gene-SERPINB11	0	0	0	0	0	0	0	0	0
gene-LOC483954	0	0	0	0	0	0	0	0	0
gene-SERPINB13	0	0	0	0	0	0	0	0	0
gene-SERPINB12	0	0	0	1	0	0	0	0	1
gene-SERPINB5	17	5	4	22	13	23	21	9	17
gene-LOC119870705	2	0	0	0	0	0	0	0	0
gene-VPS4B	3145	3046	2549	2443	1910	1728	2293	2578	2165
gene-KDSR	578	694	514	602	504	578	502	602	566
gene-BCL2	1543	1266	2019	2093	982	2186	823	692	1316
gene-LOC111094459	6	16	7	19	2	17	34	3	12
gene-LOC119870706	0	9	0	7	3	6	1	3	1
gene-LOC111094480	0	4	2	24	27	32	10	12	7
gene-LOC111094334	3	10	10	14	6	16	4	7	1
gene-LOC119870631	96	47	99	107	47	103	35	47	48
gene-LOC111094496	0	0	0	0	2	2	0	0	0
gene-LOC119870707	4	0	0	5	6	7	1	1	0
gene-LOC100687530	0	0	0	0	0	0	0	0	0
gene-PHLPP1	382	360	138	218	198	203	195	168	303
gene-LOC119870708	55	26	5	32	17	31	17	16	32
gene-LOC119870709	0	0	0	3	0	0	0	0	0
gene-LOC102155763	0	0	0	0	0	0	0	0	0
gene-LOC119870632	2	5	0	5	3	6	0	2	4
gene-LOC111094566	1	2	4	2	7	18	8	5	3
gene-ZCCHC2	1884	1752	1664	2063	1783	1524	2270	2402	1861
gene-LOC119870710	0	0	0	0	1	0	3	0	0
gene-TNFRSF11A	17	22	51	50	32	75	34	25	74
gene-LOC106558834	0	0	0	0	0	0	0	0	0
gene-LOC100687907	11	0	11	2	2	12	1	0	0
gene-RELCH	760	957	839	873	588	701	607	486	711
gene-PPIAP1	1	4	1	1	0	1	2	0	0
gene-LOC119869845	0	0	0	0	0	0	0	0	0
gene-PIGN	549	611	507	672	392	452	362	441	314
gene-LOC102153530	5	16	1	7	0	6	10	6	1
gene-LOC119870634	0	0	0	0	0	0	0	0	0
gene-LOC100682754	0	0	0	0	0	0	0	0	0
gene-LOC609896	8	5	19	1	1	0	1	3	5
gene-LOC111090609	0	0	0	0	0	0	0	0	0
gene-RNF152	0	0	5	2	0	3	0	1	0
gene-LOC111094787	0	0	0	0	0	0	0	0	0
gene-LOC119881368	0	0	0	0	0	0	0	0	0
gene-LOC119881369	0	0	0	0	0	0	0	0	0
gene-LOC119870711	0	0	0	0	0	0	0	0	0
gene-LOC119870712	0	0	0	0	0	0	0	0	0
gene-LOC119870635	0	0	0	0	0	0	0	0	0
gene-CDH20	0	0	0	2	11	6	0	13	0
gene-LOC111094796	0	0	0	2	1	5	0	6	0
gene-LOC119870714	0	0	0	0	0	0	0	0	0
gene-LOC119870713	0	0	0	0	0	0	0	0	0
gene-LOC119870715	0	0	0	0	0	0	0	1	0
gene-LOC111090610	0	0	0	0	0	0	0	0	0
gene-LOC119869959	0	0	0	0	0	0	0	0	0
gene-LOC100688146	0	0	0	0	0	0	0	0	0
gene-LOC483960	0	0	0	0	0	0	0	0	0
gene-MC4R	0	0	0	0	0	0	0	0	0
gene-LOC100688291	6	0	1	5	2	0	0	8	2
gene-LOC119869864	0	0	0	0	0	0	0	0	0
gene-PMAIP1	526	511	302	609	357	323	757	817	409
gene-LOC119870716	0	0	0	0	0	0	0	0	0
gene-CCBE1	0	0	0	0	0	0	5	1	0
gene-LOC119870717	0	0	0	0	0	0	0	0	0
gene-LOC119872244	0	0	0	0	0	0	0	0	0
gene-LMAN1	2544	2681	2930	2359	2021	1731	7790	6213	3700
gene-CPLX4	0	0	0	0	0	0	3	0	0
gene-RAX	0	0	1	0	0	0	3	2	1
gene-LOC119869927	0	0	0	0	0	0	0	0	0
gene-GRP	0	0	0	0	0	0	0	0	0
gene-SEC11C	4161	3619	3784	3213	2178	2937	6483	5218	4391
gene-LOC119870637	0	0	0	0	0	0	0	0	0
gene-LOC610160	0	0	0	0	0	0	0	0	0
gene-ZNF532	8	3	19	22	10	13	30	7	13
gene-LOC119870718	1	4	29	16	12	32	17	12	18
gene-MALT1	2967	3733	4353	3902	2212	3267	3998	2571	4191
