gene_set	genes	metric	reprocessed_sample	published_sample	correlation
all_exact	11976	spearman_abundance	M_B7H3_CAR_T	M_B7H3_CAR_T	0.9354644334556212
all_exact	11976	spearman_abundance	M_B7H3_CAR_T	M_BC_CAR_T	0.9181890440316978
all_exact	11976	spearman_abundance	M_B7H3_CAR_T	M_T_cell	0.9217706175008095
all_exact	11976	spearman_abundance	M_BC_CAR_T	B_B7H3_CAR_T	0.9058705793331006
all_exact	11976	spearman_abundance	M_BC_CAR_T	B_BC_CAR_T	0.8928383781872895
all_exact	11976	spearman_abundance	M_BC_CAR_T	B_T_cell	0.8879844644746422
all_exact	11976	spearman_abundance	M_BC_CAR_T	E_B7H3_CAR_T	0.8913109873247421
all_exact	11976	spearman_abundance	M_BC_CAR_T	E_BC_CAR_T	0.9074299082210845
all_exact	11976	spearman_abundance	M_BC_CAR_T	E_T_cell	0.8800698581697922
all_exact	11976	spearman_abundance	M_BC_CAR_T	M_B7H3_CAR_T	0.922409574625778
all_exact	11976	spearman_abundance	M_BC_CAR_T	M_BC_CAR_T	0.9363425460865694
all_exact	11976	spearman_abundance	M_BC_CAR_T	M_T_cell	0.9046873145409625
all_exact	11976	spearman_abundance	M_T_cell	B_B7H3_CAR_T	0.900169731125891
all_exact	11976	spearman_abundance	M_T_cell	B_BC_CAR_T	0.910241304889887
all_exact	11976	spearman_abundance	M_T_cell	B_T_cell	0.9168818523355521
all_exact	11976	spearman_abundance	M_T_cell	E_B7H3_CAR_T	0.9086310145933428
all_exact	11976	spearman_abundance	M_T_cell	E_BC_CAR_T	0.8989088108358163
all_exact	11976	spearman_abundance	M_T_cell	E_T_cell	0.9078019761551519
all_exact	11976	spearman_abundance	M_T_cell	M_B7H3_CAR_T	0.9161832032676985
all_exact	11976	spearman_abundance	M_T_cell	M_BC_CAR_T	0.8953289968523908
all_exact	11976	spearman_abundance	M_T_cell	M_T_cell	0.9346843450525719
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	B_B7H3_CAR_T	B_B7H3_CAR_T	0.9011841577465871
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	B_B7H3_CAR_T	B_BC_CAR_T	0.23300836630966681
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	B_B7H3_CAR_T	B_T_cell	-0.2277399904189956
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	B_B7H3_CAR_T	E_B7H3_CAR_T	0.03247012711073627
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	B_B7H3_CAR_T	E_BC_CAR_T	0.5391842019926503
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	B_B7H3_CAR_T	E_T_cell	-0.2823037257392225
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	B_B7H3_CAR_T	M_B7H3_CAR_T	-0.42801659440669815
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	B_B7H3_CAR_T	M_BC_CAR_T	-0.06756415687475481
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	B_B7H3_CAR_T	M_T_cell	-0.508267369738388
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	B_BC_CAR_T	B_B7H3_CAR_T	0.2332838953878855
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	B_BC_CAR_T	B_BC_CAR_T	0.9005113984460222
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	B_BC_CAR_T	B_T_cell	0.27773629919601744
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	B_BC_CAR_T	E_B7H3_CAR_T	0.36442432705120686
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	B_BC_CAR_T	E_BC_CAR_T	0.08574158391558752
