published_symbol	reason
ENSCAFG00000001608	missing_exact_ROS_symbol
ENSCAFG00000001675	missing_exact_ROS_symbol
ENSCAFG00000001686	missing_exact_ROS_symbol
ENSCAFG00000001728	missing_exact_ROS_symbol
ENSCAFG00000001783	missing_exact_ROS_symbol
ENSCAFG00000001789	missing_exact_ROS_symbol
ENSCAFG00000001830	missing_exact_ROS_symbol
ENSCAFG00000001846	missing_exact_ROS_symbol
ENSCAFG00000001854	missing_exact_ROS_symbol
ENSCAFG00000001857	missing_exact_ROS_symbol
ENSCAFG00000001886	missing_exact_ROS_symbol
ENSCAFG00000001905	missing_exact_ROS_symbol
ENSCAFG00000001921	missing_exact_ROS_symbol
ENSCAFG00000001968	missing_exact_ROS_symbol
ENSCAFG00000001971	missing_exact_ROS_symbol
ENSCAFG00000002015	missing_exact_ROS_symbol
ENSCAFG00000002071	missing_exact_ROS_symbol
ENSCAFG00000002078	missing_exact_ROS_symbol
ENSCAFG00000002083	missing_exact_ROS_symbol
ENSCAFG00000002084	missing_exact_ROS_symbol
ENSCAFG00000002085	missing_exact_ROS_symbol
ENSCAFG00000002101	missing_exact_ROS_symbol
ENSCAFG00000002106	missing_exact_ROS_symbol
ENSCAFG00000002132	missing_exact_ROS_symbol
ENSCAFG00000002139	missing_exact_ROS_symbol
ENSCAFG00000002166	missing_exact_ROS_symbol
ENSCAFG00000002193	missing_exact_ROS_symbol
ENSCAFG00000002202	missing_exact_ROS_symbol
ENSCAFG00000002215	missing_exact_ROS_symbol
ENSCAFG00000002218	missing_exact_ROS_symbol
ENSCAFG00000002290	missing_exact_ROS_symbol
ENSCAFG00000002332	missing_exact_ROS_symbol
ENSCAFG00000002336	missing_exact_ROS_symbol
ENSCAFG00000002337	missing_exact_ROS_symbol
ENSCAFG00000002351	missing_exact_ROS_symbol
ENSCAFG00000002360	missing_exact_ROS_symbol
ENSCAFG00000002399	missing_exact_ROS_symbol
ENSCAFG00000002412	missing_exact_ROS_symbol
ENSCAFG00000002440	missing_exact_ROS_symbol
ENSCAFG00000002455	missing_exact_ROS_symbol
ENSCAFG00000002495	missing_exact_ROS_symbol
ENSCAFG00000002524	missing_exact_ROS_symbol
ENSCAFG00000002541	missing_exact_ROS_symbol
ENSCAFG00000002548	missing_exact_ROS_symbol
ENSCAFG00000002619	missing_exact_ROS_symbol
ENSCAFG00000002646	missing_exact_ROS_symbol
ENSCAFG00000002667	missing_exact_ROS_symbol
ENSCAFG00000002696	missing_exact_ROS_symbol
ENSCAFG00000002703	missing_exact_ROS_symbol
ENSCAFG00000002706	missing_exact_ROS_symbol
ENSCAFG00000002736	missing_exact_ROS_symbol
ENSCAFG00000002743	missing_exact_ROS_symbol
ENSCAFG00000002800	missing_exact_ROS_symbol
ENSCAFG00000002833	missing_exact_ROS_symbol
ENSCAFG00000002834	missing_exact_ROS_symbol
