symbol	ROS_gene_id
ADCY1	gene-ADCY1
ADCY10	gene-ADCY10
ADCY2	gene-ADCY2
ADCY3	gene-ADCY3
ADCY4	gene-ADCY4
ADCY5	gene-ADCY5
ADCY6	gene-ADCY6
ADCY7	gene-ADCY7
ADCY9	gene-ADCY9
ADD1	gene-ADD1
ADD2	gene-ADD2
ADD3	gene-ADD3
ADGRA2	gene-ADGRA2
ADGRA3	gene-ADGRA3
ADGRB2	gene-ADGRB2
ADGRE1	gene-ADGRE1
ADGRE2	gene-ADGRE2
ADGRE3	gene-ADGRE3
ADGRE5	gene-ADGRE5
ADGRF3	gene-ADGRF3
ADGRG1	gene-ADGRG1
ADGRG2	gene-ADGRG2
ADGRG3	gene-ADGRG3
ADGRG5	gene-ADGRG5
ADGRG6	gene-ADGRG6
ADGRL1	gene-ADGRL1
ADGRL2	gene-ADGRL2
ADGRL3	gene-ADGRL3
ADGRV1	gene-ADGRV1
ADH4	gene-ADH4
ADH5	gene-ADH5
ADHFE1	gene-ADHFE1
ADIPOR1	gene-ADIPOR1
ADIPOR2	gene-ADIPOR2
ADIRF	gene-ADIRF
ADK	gene-ADK
ADM	gene-ADM
ADM2	gene-ADM2
ADM5	gene-ADM5
ADNP	gene-ADNP
ADNP2	gene-ADNP2
ADO	gene-ADO
ADORA2A	gene-ADORA2A
ADORA3	gene-ADORA3
ADPGK	gene-ADPGK
ADPRH	gene-ADPRH
ADPRM	gene-ADPRM
ADPRS	gene-ADPRS
ADRA1B	gene-ADRA1B
ADRA2A	gene-ADRA2A
ADRA2B	gene-ADRA2B
ADRA2C	gene-ADRA2C
ADRB1	gene-ADRB1
ADRB2	gene-ADRB2
ADRM1	gene-ADRM1
ADSS1	gene-ADSS1
ADSS2	gene-ADSS2
ADTRP	gene-ADTRP
AEBP2	gene-AEBP2
AEN	gene-AEN
AFAP1	gene-AFAP1
AFAP1L2	gene-AFAP1L2
AFDN	gene-AFDN
AFF1	gene-AFF1
AFF2	gene-AFF2
AFF3	gene-AFF3
AFF4	gene-AFF4
AFG1L	gene-AFG1L
AFG3L2	gene-AFG3L2
AFP	gene-AFP
AFTPH	gene-AFTPH
AGA	gene-AGA
AGAP1	gene-AGAP1
AGAP2	gene-AGAP2
AGAP3	gene-AGAP3
AGBL2	gene-AGBL2
AGBL3	gene-AGBL3
AGBL4	gene-AGBL4
AGBL5	gene-AGBL5
AGER	gene-AGER
AGFG1	gene-AGFG1
AGFG2	gene-AGFG2
AGGF1	gene-AGGF1
AGK	gene-AGK
AGL	gene-AGL
AGO1	gene-AGO1
AGO2	gene-AGO2
AGO3	gene-AGO3
AGO4	gene-AGO4
AGPAT1	gene-AGPAT1
AGPAT2	gene-AGPAT2
AGPAT3	gene-AGPAT3
AGPAT4	gene-AGPAT4
AGPAT5	gene-AGPAT5
AGPS	gene-AGPS
AGRN	gene-AGRN
AGT	gene-AGT
AGTPBP1	gene-AGTPBP1
AGTRAP	gene-AGTRAP
AHCTF1	gene-AHCTF1
AHCY	gene-AHCY
AHCYL1	gene-AHCYL1
AHCYL2	gene-AHCYL2
AHDC1	gene-AHDC1
AHI1	gene-AHI1
AHNAK	gene-AHNAK
AHR	gene-AHR
AHRR	gene-AHRR
AHSA1	gene-AHSA1
AICDA	gene-AICDA
AIDA	gene-AIDA
AIF1	gene-AIF1
AIF1L	gene-AIF1L
AIFM1	gene-AIFM1
AIFM2	gene-AIFM2
AIFM3	gene-AIFM3
AIG1	gene-AIG1
AIMP1	gene-AIMP1
AIP	gene-AIP
AIPL1	gene-AIPL1
AJUBA	gene-AJUBA
AK1	gene-AK1
AK2	gene-AK2
AK7	gene-AK7
AK8	gene-AK8
AKAP1	gene-AKAP1
AKAP10	gene-AKAP10
AKAP11	gene-AKAP11
AKAP12	gene-AKAP12
AKAP13	gene-AKAP13
AKAP3	gene-AKAP3
AKAP5	gene-AKAP5
AKAP7	gene-AKAP7
AKAP8	gene-AKAP8
AKAP9	gene-AKAP9
AKIP1	gene-AKIP1
AKIRIN1	gene-AKIRIN1
AKIRIN2	gene-AKIRIN2
AKNA	gene-AKNA
AKR1B1	gene-AKR1B1
AKR1E2	gene-AKR1E2
AKT1	gene-AKT1
AKT1S1	gene-AKT1S1
AKT2	gene-AKT2
AKT3	gene-AKT3
AKTIP	gene-AKTIP
ALAD	gene-ALAD
ALAS1	gene-ALAS1
ALAS2	gene-ALAS2
ALCAM	gene-ALCAM
ALDH16A1	gene-ALDH16A1
ALDH18A1	gene-ALDH18A1
ALDH1A1	gene-ALDH1A1
ALDH1A2	gene-ALDH1A2
ALDH1L2	gene-ALDH1L2
ALDH3A2	gene-ALDH3A2
ALDH3B1	gene-ALDH3B1
ALDH4A1	gene-ALDH4A1
ALDH5A1	gene-ALDH5A1
ALDH6A1	gene-ALDH6A1
ALDH7A1	gene-ALDH7A1
ALDH8A1	gene-ALDH8A1
ALDH9A1	gene-ALDH9A1
ALDOB	gene-ALDOB
ALDOC	gene-ALDOC
ALG11	gene-ALG11
ALG12	gene-ALG12
ALG14	gene-ALG14
ALG2	gene-ALG2
ALG3	gene-ALG3
ALG5	gene-ALG5
ALG6	gene-ALG6
ALG8	gene-ALG8
ALKBH1	gene-ALKBH1
ALKBH2	gene-ALKBH2
ALKBH3	gene-ALKBH3
ALKBH4	gene-ALKBH4
ALKBH5	gene-ALKBH5
ALKBH6	gene-ALKBH6
ALKBH7	gene-ALKBH7
ALMS1	gene-ALMS1
ALOX15	gene-ALOX15
ALOX15B	gene-ALOX15B
ALOXE3	gene-ALOXE3
ALPK1	gene-ALPK1
ALPK2	gene-ALPK2
ALPL	gene-ALPL
ALS2	gene-ALS2
ALX4	gene-ALX4
ALYREF	gene-ALYREF
AMBN	gene-AMBN
AMBRA1	gene-AMBRA1
AMD1	gene-AMD1
AMDHD1	gene-AMDHD1
AMFR	gene-AMFR
AMHR2	gene-AMHR2
AMIGO2	gene-AMIGO2
AMIGO3	gene-AMIGO3
AMMECR1	gene-AMMECR1
AMMECR1L	gene-AMMECR1L
AMOTL1	gene-AMOTL1
AMOTL2	gene-AMOTL2
AMPD2	gene-AMPD2
AMPD3	gene-AMPD3
AMPH	gene-AMPH
AMT	gene-AMT
AMZ2	gene-AMZ2
ANAPC1	gene-ANAPC1
ANAPC10	gene-ANAPC10
ANAPC11	gene-ANAPC11
ANAPC13	gene-ANAPC13
ANAPC15	gene-ANAPC15
ANAPC16	gene-ANAPC16
ANAPC2	gene-ANAPC2
ANAPC4	gene-ANAPC4
ANAPC5	gene-ANAPC5
ANAPC7	gene-ANAPC7
ANGEL1	gene-ANGEL1
ANGEL2	gene-ANGEL2
ANGPT1	gene-ANGPT1
ANGPT2	gene-ANGPT2
ANGPTL1	gene-ANGPTL1
ANGPTL2	gene-ANGPTL2
ANGPTL4	gene-ANGPTL4
ANGPTL6	gene-ANGPTL6
ANK2	gene-ANK2
ANK3	gene-ANK3
ANKAR	gene-ANKAR
ANKDD1A	gene-ANKDD1A
ANKFN1	gene-ANKFN1
ANKFY1	gene-ANKFY1
ANKH	gene-ANKH
ANKIB1	gene-ANKIB1
ANKLE1	gene-ANKLE1
ANKLE2	gene-ANKLE2
ANKMY1	gene-ANKMY1
ANKMY2	gene-ANKMY2
ANKRA2	gene-ANKRA2
ANKRD1	gene-ANKRD1
ANKRD10	gene-ANKRD10
ANKRD11	gene-ANKRD11
ANKRD12	gene-ANKRD12
ANKRD13A	gene-ANKRD13A
ANKRD13B	gene-ANKRD13B
ANKRD13C	gene-ANKRD13C
ANKRD13D	gene-ANKRD13D
ANKRD16	gene-ANKRD16
ANKRD17	gene-ANKRD17
ANKRD2	gene-ANKRD2
ANKRD22	gene-ANKRD22
ANKRD24	gene-ANKRD24
ANKRD27	gene-ANKRD27
ANKRD28	gene-ANKRD28
ANKRD29	gene-ANKRD29
ANKRD33B	gene-ANKRD33B
ANKRD34A	gene-ANKRD34A
ANKRD34B	gene-ANKRD34B
ANKRD34C	gene-ANKRD34C
ANKRD35	gene-ANKRD35
ANKRD37	gene-ANKRD37
ANKRD39	gene-ANKRD39
ANKRD40	gene-ANKRD40
ANKRD42	gene-ANKRD42
ANKRD44	gene-ANKRD44
ANKRD49	gene-ANKRD49
ANKRD50	gene-ANKRD50
ANKRD52	gene-ANKRD52
ANKRD53	gene-ANKRD53
ANKRD54	gene-ANKRD54
ANKRD55	gene-ANKRD55
ANKRD6	gene-ANKRD6
ANKRD61	gene-ANKRD61
ANKRD63	gene-ANKRD63
ANKRD9	gene-ANKRD9
ANKS1A	gene-ANKS1A
ANKS1B	gene-ANKS1B
ANKS3	gene-ANKS3
ANKS4B	gene-ANKS4B
ANKS6	gene-ANKS6
ANKZF1	gene-ANKZF1
ANLN	gene-ANLN
ANO1	gene-ANO1
ANO10	gene-ANO10
ANO3	gene-ANO3
ANO4	gene-ANO4
ANO6	gene-ANO6
ANO7	gene-ANO7
ANO8	gene-ANO8
ANO9	gene-ANO9
ANOS1	gene-ANOS1
ANP32A	gene-ANP32A
ANP32E	gene-ANP32E
ANTXR1	gene-ANTXR1
ANTXR2	gene-ANTXR2
ANXA1	gene-ANXA1
ANXA11	gene-ANXA11
ANXA2	gene-ANXA2
ANXA3	gene-ANXA3
ANXA4	gene-ANXA4
ANXA5	gene-ANXA5
ANXA6	gene-ANXA6
ANXA7	gene-ANXA7
ANXA9	gene-ANXA9
AOAH	gene-AOAH
AOC2	gene-AOC2
AOC3	gene-AOC3
AOX2	gene-AOX2
AP1AR	gene-AP1AR
AP1B1	gene-AP1B1
AP1M1	gene-AP1M1
AP1M2	gene-AP1M2
AP1S1	gene-AP1S1
AP1S2	gene-AP1S2
AP2A1	gene-AP2A1
AP2A2	gene-AP2A2
AP2B1	gene-AP2B1
AP2M1	gene-AP2M1
AP2S1	gene-AP2S1
AP3B1	gene-AP3B1
AP3B2	gene-AP3B2
AP3D1	gene-AP3D1
AP3M1	gene-AP3M1
AP3M2	gene-AP3M2
AP3S1	gene-AP3S1
AP3S2	gene-AP3S2
AP4B1	gene-AP4B1
AP4E1	gene-AP4E1
AP4M1	gene-AP4M1
AP4S1	gene-AP4S1
AP5B1	gene-AP5B1
AP5M1	gene-AP5M1
AP5S1	gene-AP5S1
AP5Z1	gene-AP5Z1
APAF1	gene-APAF1
APBA1	gene-APBA1
APBA3	gene-APBA3
APBB1	gene-APBB1
APBB1IP	gene-APBB1IP
APBB2	gene-APBB2
APBB3	gene-APBB3
APC	gene-APC
APC2	gene-APC2
APCDD1L	gene-APCDD1L
APEH	gene-APEH
APEX1	gene-APEX1
APEX2	gene-APEX2
APH1A	gene-APH1A
APH1B	gene-APH1B
API5	gene-API5
APIP	gene-APIP
APLF	gene-APLF
APLP1	gene-APLP1
APLP2	gene-APLP2
APMAP	gene-APMAP
APOA1	gene-APOA1
APOBEC2	gene-APOBEC2
APOBEC3Z3	gene-APOBEC3Z3
APOBR	gene-APOBR
APOC1	gene-APOC1
APOD	gene-APOD
APOE	gene-APOE
APOF	gene-APOF
