symbol	ROS_gene_id
EIF2B1	gene-EIF2B1
EIF2B2	gene-EIF2B2
EIF2B3	gene-EIF2B3
EIF2B4	gene-EIF2B4
EIF2B5	gene-EIF2B5
EIF2D	gene-EIF2D
EIF2S1	gene-EIF2S1
EIF2S2	gene-EIF2S2
EIF2S3	gene-EIF2S3
EIF3A	gene-EIF3A
EIF3B	gene-EIF3B
EIF3D	gene-EIF3D
EIF3E	gene-EIF3E
EIF3F	gene-EIF3F
EIF3G	gene-EIF3G
EIF3H	gene-EIF3H
EIF3I	gene-EIF3I
EIF3J	gene-EIF3J
EIF3K	gene-EIF3K
EIF3L	gene-EIF3L
EIF3M	gene-EIF3M
EIF4A1	gene-EIF4A1
EIF4A2	gene-EIF4A2
EIF4A3	gene-EIF4A3
EIF4B	gene-EIF4B
EIF4E	gene-EIF4E
EIF4E2	gene-EIF4E2
EIF4E3	gene-EIF4E3
EIF4EBP1	gene-EIF4EBP1
EIF4EBP2	gene-EIF4EBP2
EIF4EBP3	gene-EIF4EBP3
EIF4ENIF1	gene-EIF4ENIF1
EIF4G1	gene-EIF4G1
EIF4G2	gene-EIF4G2
EIF4G3	gene-EIF4G3
EIF4H	gene-EIF4H
EIF5A2	gene-EIF5A2
EIF5B	gene-EIF5B
EIF6	gene-EIF6
EIPR1	gene-EIPR1
ELAC1	gene-ELAC1
ELAC2	gene-ELAC2
ELANE	gene-ELANE
ELAPOR1	gene-ELAPOR1
ELF1	gene-ELF1
ELF2	gene-ELF2
ELF3	gene-ELF3
ELF4	gene-ELF4
ELFN2	gene-ELFN2
ELK1	gene-ELK1
ELK3	gene-ELK3
ELK4	gene-ELK4
ELL	gene-ELL
ELL2	gene-ELL2
ELL3	gene-ELL3
ELMO1	gene-ELMO1
ELMO2	gene-ELMO2
ELMO3	gene-ELMO3
ELMOD2	gene-ELMOD2
ELMOD3	gene-ELMOD3
ELOA	gene-ELOA
ELOB	gene-ELOB
ELOC	gene-ELOC
ELOF1	gene-ELOF1
ELOVL1	gene-ELOVL1
ELOVL2	gene-ELOVL2
ELOVL4	gene-ELOVL4
ELOVL5	gene-ELOVL5
ELOVL6	gene-ELOVL6
ELP1	gene-ELP1
ELP2	gene-ELP2
ELP3	gene-ELP3
ELP4	gene-ELP4
ELP5	gene-ELP5
ELP6	gene-ELP6
ELSPBP1	gene-ELSPBP1
EMB	gene-EMB
EMC1	gene-EMC1
EMC10	gene-EMC10
EMC3	gene-EMC3
EMC4	gene-EMC4
EMC6	gene-EMC6
EMC7	gene-EMC7
EMC8	gene-EMC8
EMC9	gene-EMC9
EMD	gene-EMD
EME1	gene-EME1
EMG1	gene-EMG1
EMID1	gene-EMID1
EMILIN1	gene-EMILIN1
EML1	gene-EML1
EML2	gene-EML2
EML3	gene-EML3
EML4	gene-EML4
EML5	gene-EML5
EML6	gene-EML6
EMP1	gene-EMP1
EMP2	gene-EMP2
EMP3	gene-EMP3
EMR4	gene-EMR4
EMSY	gene-EMSY
EMX2	gene-EMX2
ENAH	gene-ENAH
ENAM	gene-ENAM
ENC1	gene-ENC1
ENDOD1	gene-ENDOD1
ENDOG	gene-ENDOG
ENDOU	gene-ENDOU
ENDOV	gene-ENDOV
ENG	gene-ENG
ENGASE	gene-ENGASE
ENKD1	gene-ENKD1
ENO1	gene-ENO1
ENO2	gene-ENO2
ENO3	gene-ENO3
ENOPH1	gene-ENOPH1
ENOSF1	gene-ENOSF1
ENOX1	gene-ENOX1
ENOX2	gene-ENOX2
ENPEP	gene-ENPEP
ENPP1	gene-ENPP1
ENPP2	gene-ENPP2
ENPP3	gene-ENPP3
ENPP4	gene-ENPP4
ENPP5	gene-ENPP5
ENPP7	gene-ENPP7
ENSA	gene-ENSA
ENTHD1	gene-ENTHD1
ENTPD1	gene-ENTPD1
ENTPD2	gene-ENTPD2
ENTPD3	gene-ENTPD3
ENTPD4	gene-ENTPD4
ENTPD5	gene-ENTPD5
ENTPD6	gene-ENTPD6
ENTPD7	gene-ENTPD7
ENTR1	gene-ENTR1
ENY2	gene-ENY2
EOGT	gene-EOGT
EOMES	gene-EOMES
EP300	gene-EP300
EP400	gene-EP400
EPAS1	gene-EPAS1
EPB41	gene-EPB41
EPB41L1	gene-EPB41L1
EPB41L2	gene-EPB41L2
EPB41L4A	gene-EPB41L4A
EPB41L4B	gene-EPB41L4B
EPB41L5	gene-EPB41L5
EPC1	gene-EPC1
EPC2	gene-EPC2
EPCAM	gene-EPCAM
EPDR1	gene-EPDR1
EPG5	gene-EPG5
EPGN	gene-EPGN
EPHA2	gene-EPHA2
EPHA4	gene-EPHA4
EPHA8	gene-EPHA8
EPHB6	gene-EPHB6
EPHX1	gene-EPHX1
EPHX2	gene-EPHX2
EPHX3	gene-EPHX3
EPM2A	gene-EPM2A
EPM2AIP1	gene-EPM2AIP1
EPN1	gene-EPN1
EPN2	gene-EPN2
EPN3	gene-EPN3
EPOP	gene-EPOP
EPOR	gene-EPOR
EPRS1	gene-EPRS1
EPS15	gene-EPS15
EPS15L1	gene-EPS15L1
EPS8	gene-EPS8
EPS8L1	gene-EPS8L1
EPS8L2	gene-EPS8L2
EPSTI1	gene-EPSTI1
EPYC	gene-EPYC
ERAL1	gene-ERAL1
ERAP1	gene-ERAP1
ERAP2	gene-ERAP2
ERAS	gene-ERAS
ERBB2	gene-ERBB2
ERBB3	gene-ERBB3
ERBIN	gene-ERBIN
ERC1	gene-ERC1
ERCC1	gene-ERCC1
ERCC2	gene-ERCC2
ERCC3	gene-ERCC3
ERCC4	gene-ERCC4
ERCC6	gene-ERCC6
ERCC6L	gene-ERCC6L
ERCC6L2	gene-ERCC6L2
ERCC8	gene-ERCC8
ERF	gene-ERF
ERG28	gene-ERG28
ERGIC1	gene-ERGIC1
ERGIC2	gene-ERGIC2
ERGIC3	gene-ERGIC3
ERH	gene-ERH
ERI1	gene-ERI1
ERI2	gene-ERI2
ERI3	gene-ERI3
ERICH1	gene-ERICH1
ERICH4	gene-ERICH4
ERICH6B	gene-ERICH6B
ERLEC1	gene-ERLEC1
ERLIN1	gene-ERLIN1
ERLIN2	gene-ERLIN2
ERMARD	gene-ERMARD
ERMN	gene-ERMN
ERMP1	gene-ERMP1
ERN1	gene-ERN1
ERN2	gene-ERN2
ERO1A	gene-ERO1A
ERO1B	gene-ERO1B
ERP27	gene-ERP27
ERP29	gene-ERP29
ERP44	gene-ERP44
ERRFI1	gene-ERRFI1
ESAM	gene-ESAM
ESCO1	gene-ESCO1
ESCO2	gene-ESCO2
ESD	gene-ESD
ESF1	gene-ESF1
ESM1	gene-ESM1
ESPL1	gene-ESPL1
ESPN	gene-ESPN
ESR1	gene-ESR1
ESRP1	gene-ESRP1
ESRP2	gene-ESRP2
ESRRA	gene-ESRRA
ESRRG	gene-ESRRG
ESS2	gene-ESS2
ESYT1	gene-ESYT1
ESYT2	gene-ESYT2
ESYT3	gene-ESYT3
ETAA1	gene-ETAA1
ETF1	gene-ETF1
ETFA	gene-ETFA
ETFB	gene-ETFB
ETFBKMT	gene-ETFBKMT
ETFDH	gene-ETFDH
ETFRF1	gene-ETFRF1
ETHE1	gene-ETHE1
ETNK1	gene-ETNK1
ETNK2	gene-ETNK2
ETS1	gene-ETS1
ETS2	gene-ETS2
ETV1	gene-ETV1
ETV2	gene-ETV2
ETV3	gene-ETV3
ETV4	gene-ETV4
ETV5	gene-ETV5
ETV6	gene-ETV6
ETV7	gene-ETV7
EVA1B	gene-EVA1B
EVC	gene-EVC
EVC2	gene-EVC2
EVI2B	gene-EVI2B
EVI5L	gene-EVI5L
EVL	gene-EVL
EVPL	gene-EVPL
EWSR1	gene-EWSR1
EXD1	gene-EXD1
EXD2	gene-EXD2
EXD3	gene-EXD3
EXO1	gene-EXO1
EXOC1	gene-EXOC1
EXOC2	gene-EXOC2
EXOC3	gene-EXOC3
EXOC3L1	gene-EXOC3L1
EXOC4	gene-EXOC4
EXOC5	gene-EXOC5
EXOC6	gene-EXOC6
EXOC6B	gene-EXOC6B
EXOC7	gene-EXOC7
EXOC8	gene-EXOC8
EXOG	gene-EXOG
EXOSC1	gene-EXOSC1
EXOSC10	gene-EXOSC10
EXOSC2	gene-EXOSC2
EXOSC3	gene-EXOSC3
EXOSC4	gene-EXOSC4
EXOSC5	gene-EXOSC5
EXOSC6	gene-EXOSC6
EXOSC7	gene-EXOSC7
EXOSC8	gene-EXOSC8
EXOSC9	gene-EXOSC9
EXT1	gene-EXT1
EXT2	gene-EXT2
EXTL2	gene-EXTL2
EXTL3	gene-EXTL3
EYA2	gene-EYA2
EYA3	gene-EYA3
EZH1	gene-EZH1
EZH2	gene-EZH2
EZR	gene-EZR
F10	gene-F10
F11	gene-F11
F11R	gene-F11R
F12	gene-F12
F2R	gene-F2R
F2RL1	gene-F2RL1
F2RL2	gene-F2RL2
F2RL3	gene-F2RL3
F3	gene-F3
F5	gene-F5
F8	gene-F8
FAAH	gene-FAAH
FAAP100	gene-FAAP100
FAAP24	gene-FAAP24
FABP3	gene-FABP3
FADS1	gene-FADS1
FADS2	gene-FADS2
FADS6	gene-FADS6
FAF1	gene-FAF1
FAF2	gene-FAF2
FAH	gene-FAH
FAHD1	gene-FAHD1
FAIM	gene-FAIM
FAM102A	gene-FAM102A
FAM102B	gene-FAM102B
FAM104A	gene-FAM104A
FAM107A	gene-FAM107A
FAM107B	gene-FAM107B
FAM110A	gene-FAM110A
FAM110B	gene-FAM110B
FAM111B	gene-FAM111B
FAM114A1	gene-FAM114A1
FAM114A2	gene-FAM114A2
FAM117A	gene-FAM117A
FAM117B	gene-FAM117B
FAM118A	gene-FAM118A
FAM118B	gene-FAM118B
FAM120A	gene-FAM120A
FAM120B	gene-FAM120B
FAM126A	gene-FAM126A
FAM126B	gene-FAM126B
FAM131A	gene-FAM131A
FAM131B	gene-FAM131B
FAM131C	gene-FAM131C
FAM133A	gene-FAM133A
FAM135A	gene-FAM135A
FAM13A	gene-FAM13A
FAM13B	gene-FAM13B
FAM149B1	gene-FAM149B1
FAM151A	gene-FAM151A
FAM151B	gene-FAM151B
FAM155B	gene-FAM155B
FAM160A1	gene-FAM160A1
FAM160A2	gene-FAM160A2
FAM160B1	gene-FAM160B1
FAM160B2	gene-FAM160B2
FAM161A	gene-FAM161A
FAM161B	gene-FAM161B
FAM162A	gene-FAM162A
FAM167A	gene-FAM167A
FAM168A	gene-FAM168A
FAM168B	gene-FAM168B
FAM169A	gene-FAM169A
FAM171A1	gene-FAM171A1
FAM171A2	gene-FAM171A2
FAM171B	gene-FAM171B
FAM172A	gene-FAM172A
FAM174A	gene-FAM174A
FAM177A1	gene-FAM177A1
FAM177B	gene-FAM177B
FAM178B	gene-FAM178B
FAM184A	gene-FAM184A
FAM185A	gene-FAM185A
FAM186B	gene-FAM186B
FAM189A1	gene-FAM189A1
FAM189A2	gene-FAM189A2
FAM189B	gene-FAM189B
FAM193A	gene-FAM193A
FAM193B	gene-FAM193B
FAM199X	gene-FAM199X
FAM204A	gene-FAM204A
FAM207A	gene-FAM207A
FAM20B	gene-FAM20B
FAM20C	gene-FAM20C
FAM210A	gene-FAM210A
FAM210B	gene-FAM210B
FAM214A	gene-FAM214A
FAM214B	gene-FAM214B
FAM216A	gene-FAM216A
FAM217B	gene-FAM217B
FAM219A	gene-FAM219A
FAM219B	gene-FAM219B
FAM221A	gene-FAM221A
FAM222A	gene-FAM222A
FAM222B	gene-FAM222B
FAM227B	gene-FAM227B
FAM229A	gene-FAM229A
FAM234A	gene-FAM234A
FAM234B	gene-FAM234B
FAM241A	gene-FAM241A
FAM3A	gene-FAM3A
FAM3C	gene-FAM3C
FAM43A	gene-FAM43A
FAM50A	gene-FAM50A
FAM53A	gene-FAM53A
FAM53B	gene-FAM53B
FAM71B	gene-FAM71B
FAM71E1	gene-FAM71E1
FAM71F1	gene-FAM71F1
FAM76A	gene-FAM76A
FAM76B	gene-FAM76B
FAM78A	gene-FAM78A
FAM78B	gene-FAM78B
FAM81A	gene-FAM81A
FAM83C	gene-FAM83C
FAM83D	gene-FAM83D
FAM83F	gene-FAM83F
FAM83G	gene-FAM83G
FAM83H	gene-FAM83H
FAM89B	gene-FAM89B
FAM8A1	gene-FAM8A1
FAM91A1	gene-FAM91A1
FAM98A	gene-FAM98A
FAM98B	gene-FAM98B
FAM98C	gene-FAM98C
FAN1	gene-FAN1
FANCA	gene-FANCA
FANCB	gene-FANCB
FANCC	gene-FANCC
FANCD2	gene-FANCD2
FANCE	gene-FANCE
FANCF	gene-FANCF
FANCG	gene-FANCG
FANCI	gene-FANCI
FANCL	gene-FANCL
FANCM	gene-FANCM
FAP	gene-FAP
FAR1	gene-FAR1
FAR2	gene-FAR2
FARP1	gene-FARP1
FARP2	gene-FARP2
FARS2	gene-FARS2
FARSA	gene-FARSA
FARSB	gene-FARSB
FAS	gene-FAS
FASLG	gene-FASLG
FASN	gene-FASN
FASTK	gene-FASTK
FASTKD1	gene-FASTKD1
FASTKD2	gene-FASTKD2
FASTKD3	gene-FASTKD3
FASTKD5	gene-FASTKD5
FAT1	gene-FAT1
FAT2	gene-FAT2
FAT4	gene-FAT4
FAU	gene-FAU
FAXC	gene-FAXC
FAXDC2	gene-FAXDC2
FBF1	gene-FBF1
FBH1	gene-FBH1
FBL	gene-FBL
FBLIM1	gene-FBLIM1
FBLL1	gene-FBLL1
FBLN1	gene-FBLN1
FBLN2	gene-FBLN2
FBLN5	gene-FBLN5
FBN1	gene-FBN1
FBN3	gene-FBN3
FBP1	gene-FBP1
FBP2	gene-FBP2
FBRS	gene-FBRS
FBRSL1	gene-FBRSL1
FBXL12	gene-FBXL12
FBXL14	gene-FBXL14
FBXL15	gene-FBXL15
FBXL16	gene-FBXL16
FBXL17	gene-FBXL17
FBXL18	gene-FBXL18
FBXL19	gene-FBXL19
FBXL2	gene-FBXL2
FBXL20	gene-FBXL20
FBXL3	gene-FBXL3
FBXL4	gene-FBXL4
FBXL5	gene-FBXL5
FBXL6	gene-FBXL6
FBXL7	gene-FBXL7
FBXO10	gene-FBXO10
FBXO11	gene-FBXO11
FBXO15	gene-FBXO15
FBXO17	gene-FBXO17
FBXO2	gene-FBXO2
FBXO21	gene-FBXO21
FBXO24	gene-FBXO24
FBXO25	gene-FBXO25
FBXO27	gene-FBXO27
FBXO28	gene-FBXO28
FBXO3	gene-FBXO3
FBXO30	gene-FBXO30
FBXO31	gene-FBXO31
FBXO32	gene-FBXO32
FBXO33	gene-FBXO33
FBXO34	gene-FBXO34
FBXO36	gene-FBXO36
FBXO38	gene-FBXO38
FBXO4	gene-FBXO4
FBXO40	gene-FBXO40
FBXO41	gene-FBXO41
FBXO42	gene-FBXO42
FBXO43	gene-FBXO43
FBXO45	gene-FBXO45
FBXO46	gene-FBXO46
FBXO47	gene-FBXO47
FBXO48	gene-FBXO48
FBXO5	gene-FBXO5
FBXO6	gene-FBXO6
FBXO7	gene-FBXO7
FBXO8	gene-FBXO8
FBXO9	gene-FBXO9
FBXW11	gene-FBXW11
FBXW2	gene-FBXW2
FBXW4	gene-FBXW4
FBXW5	gene-FBXW5
FBXW7	gene-FBXW7
FBXW8	gene-FBXW8
FBXW9	gene-FBXW9
FCER1A	gene-FCER1A
FCER1G	gene-FCER1G
FCER2	gene-FCER2
FCGRT	gene-FCGRT
FCHO1	gene-FCHO1
FCHO2	gene-FCHO2
FCHSD1	gene-FCHSD1
FCHSD2	gene-FCHSD2
FCMR	gene-FCMR
FCRL1	gene-FCRL1
FCRL2	gene-FCRL2
FCRL4	gene-FCRL4
FCRL5	gene-FCRL5
FCRLA	gene-FCRLA
FCSK	gene-FCSK
FDFT1	gene-FDFT1
FDPS	gene-FDPS
FDX1	gene-FDX1
FDXR	gene-FDXR
FECH	gene-FECH
FEM1A	gene-FEM1A
FEM1B	gene-FEM1B
FEM1C	gene-FEM1C
FEN1	gene-FEN1
FER	gene-FER
FERMT1	gene-FERMT1
FERMT2	gene-FERMT2
FERMT3	gene-FERMT3
FES	gene-FES
FEZ1	gene-FEZ1
FEZ2	gene-FEZ2
FFAR2	gene-FFAR2
FGA	gene-FGA
FGD1	gene-FGD1
FGD2	gene-FGD2
FGD3	gene-FGD3
FGD4	gene-FGD4
FGD6	gene-FGD6
FGF11	gene-FGF11
FGF16	gene-FGF16
FGF18	gene-FGF18
FGF21	gene-FGF21
FGF3	gene-FGF3
FGF8	gene-FGF8
FGFR1	gene-FGFR1
FGFR1OP2	gene-FGFR1OP2
FGFR2	gene-FGFR2
FGFR3	gene-FGFR3
FGFR4	gene-FGFR4
FGFRL1	gene-FGFRL1
FGGY	gene-FGGY
FGL2	gene-FGL2
FGR	gene-FGR
FH	gene-FH
FHAD1	gene-FHAD1
FHDC1	gene-FHDC1
FHIT	gene-FHIT
FHL1	gene-FHL1
FHL2	gene-FHL2
FHL3	gene-FHL3
FHOD1	gene-FHOD1
FHOD3	gene-FHOD3
FIBP	gene-FIBP
FICD	gene-FICD
FIG4	gene-FIG4
FIGNL1	gene-FIGNL1
FILIP1L	gene-FILIP1L
FIP1L1	gene-FIP1L1
FIS1	gene-FIS1
FITM1	gene-FITM1
FITM2	gene-FITM2
FIZ1	gene-FIZ1
FKBP10	gene-FKBP10
FKBP11	gene-FKBP11
FKBP15	gene-FKBP15
FKBP1A	gene-FKBP1A
FKBP1B	gene-FKBP1B
FKBP2	gene-FKBP2
FKBP3	gene-FKBP3
FKBP4	gene-FKBP4
FKBP5	gene-FKBP5
FKBP7	gene-FKBP7
FKBP9	gene-FKBP9
FKBPL	gene-FKBPL
FKRP	gene-FKRP
FKTN	gene-FKTN
FLACC1	gene-FLACC1
FLAD1	gene-FLAD1
FLCN	gene-FLCN
FLI1	gene-FLI1
FLII	gene-FLII
FLNA	gene-FLNA
FLNB	gene-FLNB
FLNC	gene-FLNC
FLOT1	gene-FLOT1
FLRT1	gene-FLRT1
FLT1	gene-FLT1
FLT3	gene-FLT3
FLT3LG	gene-FLT3LG
FLT4	gene-FLT4
FLVCR1	gene-FLVCR1
FLVCR2	gene-FLVCR2
FLYWCH1	gene-FLYWCH1
FLYWCH2	gene-FLYWCH2
FMC1	gene-FMC1
FMN1	gene-FMN1
FMN2	gene-FMN2
FMNL1	gene-FMNL1
FMNL2	gene-FMNL2
FMNL3	gene-FMNL3
FMO4	gene-FMO4
FMO5	gene-FMO5
FMOD	gene-FMOD
FMR1	gene-FMR1
FN1	gene-FN1
FN3K	gene-FN3K
FN3KRP	gene-FN3KRP
FNBP1	gene-FNBP1
FNBP1L	gene-FNBP1L
FNBP4	gene-FNBP4
FNDC1	gene-FNDC1
FNDC11	gene-FNDC11
FNDC3A	gene-FNDC3A
FNDC3B	gene-FNDC3B
FNDC4	gene-FNDC4
FNDC5	gene-FNDC5
FNDC7	gene-FNDC7
FNDC8	gene-FNDC8
FNDC9	gene-FNDC9
FNIP1	gene-FNIP1
FNIP2	gene-FNIP2
FNTA	gene-FNTA
FOCAD	gene-FOCAD
FOS	gene-FOS
FOSB	gene-FOSB
FOSL1	gene-FOSL1
FOSL2	gene-FOSL2
FOXA1	gene-FOXA1
FOXA2	gene-FOXA2
FOXB1	gene-FOXB1
FOXC2	gene-FOXC2
FOXF1	gene-FOXF1
FOXF2	gene-FOXF2
FOXH1	gene-FOXH1
FOXI1	gene-FOXI1
FOXJ1	gene-FOXJ1
FOXJ2	gene-FOXJ2
FOXJ3	gene-FOXJ3
FOXK1	gene-FOXK1
FOXK2	gene-FOXK2
FOXM1	gene-FOXM1
FOXN2	gene-FOXN2
FOXN3	gene-FOXN3
FOXN4	gene-FOXN4
FOXO1	gene-FOXO1
FOXO3	gene-FOXO3
FOXO4	gene-FOXO4
FOXP1	gene-FOXP1
FOXP2	gene-FOXP2
FOXP3	gene-FOXP3
FOXP4	gene-FOXP4
FOXRED1	gene-FOXRED1
FOXRED2	gene-FOXRED2
FOXS1	gene-FOXS1
FPGS	gene-FPGS
FPGT	gene-FPGT
FRA10AC1	gene-FRA10AC1
FRAS1	gene-FRAS1
FRAT1	gene-FRAT1
FREM1	gene-FREM1
FRG1	gene-FRG1
FRMD3	gene-FRMD3
FRMD4A	gene-FRMD4A
FRMD4B	gene-FRMD4B
FRMD5	gene-FRMD5
FRMD6	gene-FRMD6
FRMD7	gene-FRMD7
FRMD8	gene-FRMD8
FRMPD1	gene-FRMPD1
FRRS1	gene-FRRS1
FRS2	gene-FRS2
FRS3	gene-FRS3
FRY	gene-FRY
FRYL	gene-FRYL
FSCN1	gene-FSCN1
FSCN2	gene-FSCN2
FSD1	gene-FSD1
FSD1L	gene-FSD1L
FSD2	gene-FSD2
FSIP1	gene-FSIP1
FST	gene-FST
FSTL1	gene-FSTL1
FSTL3	gene-FSTL3
FSTL4	gene-FSTL4
FTL	gene-FTL
FTO	gene-FTO
FTSJ1	gene-FTSJ1
FTSJ3	gene-FTSJ3
FUBP3	gene-FUBP3
FUCA1	gene-FUCA1
FUCA2	gene-FUCA2
FUNDC1	gene-FUNDC1
FUNDC2	gene-FUNDC2
FURIN	gene-FURIN
FUS	gene-FUS
FUT1	gene-FUT1
FUT10	gene-FUT10
FUT11	gene-FUT11
FUT4	gene-FUT4
FUT7	gene-FUT7
FUT8	gene-FUT8
FXN	gene-FXN
FXR1	gene-FXR1
FXR2	gene-FXR2
FXYD1	gene-FXYD1
FXYD2	gene-FXYD2
FXYD5	gene-FXYD5
FXYD6	gene-FXYD6
FYB1	gene-FYB1
FYCO1	gene-FYCO1
FYN	gene-FYN
FYTTD1	gene-FYTTD1
FZD1	gene-FZD1
FZD10	gene-FZD10
FZD2	gene-FZD2
FZD3	gene-FZD3
FZD4	gene-FZD4
FZD5	gene-FZD5
FZD6	gene-FZD6
FZD7	gene-FZD7
FZD8	gene-FZD8
FZD9	gene-FZD9
FZR1	gene-FZR1
G2E3	gene-G2E3
G3BP1	gene-G3BP1
G3BP2	gene-G3BP2
G6PC3	gene-G6PC3
G6PD	gene-G6PD
GAA	gene-GAA
GAB1	gene-GAB1
GAB2	gene-GAB2
GAB3	gene-GAB3
GABARAP	gene-GABARAP
GABARAPL1	gene-GABARAPL1
GABARAPL2	gene-GABARAPL2
GABBR1	gene-GABBR1
GABPA	gene-GABPA
GABPB1	gene-GABPB1
GABPB2	gene-GABPB2
GABRB1	gene-GABRB1
GABRR2	gene-GABRR2
GAD2	gene-GAD2
GADD45A	gene-GADD45A
GADD45B	gene-GADD45B
GADD45G	gene-GADD45G
GADD45GIP1	gene-GADD45GIP1
GAK	gene-GAK
GAL3ST2	gene-GAL3ST2
GAL3ST3	gene-GAL3ST3
GAL3ST4	gene-GAL3ST4
GALC	gene-GALC
GALE	gene-GALE
GALK1	gene-GALK1
GALK2	gene-GALK2
GALM	gene-GALM
GALNS	gene-GALNS
GALNT1	gene-GALNT1
GALNT10	gene-GALNT10
GALNT11	gene-GALNT11
GALNT12	gene-GALNT12
GALNT14	gene-GALNT14
GALNT15	gene-GALNT15
GALNT17	gene-GALNT17
GALNT2	gene-GALNT2
GALNT3	gene-GALNT3
GALNT5	gene-GALNT5
GALNT6	gene-GALNT6
GALNTL5	gene-GALNTL5
GALR1	gene-GALR1
GALT	gene-GALT
GAN	gene-GAN
GANAB	gene-GANAB
GANC	gene-GANC
GAPDH	gene-GAPDH
GAPVD1	gene-GAPVD1
GAR1	gene-GAR1
GAREM1	gene-GAREM1
GAREM2	gene-GAREM2
GARNL3	gene-GARNL3
GARRE1	gene-GARRE1
GARS1	gene-GARS1
GAS1	gene-GAS1
GAS2L1	gene-GAS2L1
GAS2L2	gene-GAS2L2
GAS2L3	gene-GAS2L3
GAS6	gene-GAS6
GAS7	gene-GAS7
GAS8	gene-GAS8
GASK1A	gene-GASK1A
GATA1	gene-GATA1
GATA2	gene-GATA2
GATA3	gene-GATA3
GATA4	gene-GATA4
GATAD1	gene-GATAD1
GATAD2A	gene-GATAD2A
GATAD2B	gene-GATAD2B
GATB	gene-GATB
GATM	gene-GATM
GBA	gene-GBA
GBA2	gene-GBA2
GBE1	gene-GBE1
GBF1	gene-GBF1
GBGT1	gene-GBGT1
GBP1	gene-GBP1
GBP6	gene-GBP6
GCA	gene-GCA
GCAT	gene-GCAT
GCC1	gene-GCC1
GCC2	gene-GCC2
GCDH	gene-GCDH
GCFC2	gene-GCFC2
GCG	gene-GCG
GCH1	gene-GCH1
GCHFR	gene-GCHFR
GCKR	gene-GCKR
GCLC	gene-GCLC
GCN1	gene-GCN1
GCNA	gene-GCNA
GCNT2	gene-GCNT2
GCNT4	gene-GCNT4
GCSAM	gene-GCSAM
GCSH	gene-GCSH
GDA	gene-GDA
GDAP2	gene-GDAP2
GDE1	gene-GDE1
GDF11	gene-GDF11
GDF6	gene-GDF6
GDF9	gene-GDF9
GDI1	gene-GDI1
GDI2	gene-GDI2
GDPD1	gene-GDPD1
GDPD2	gene-GDPD2
GDPD3	gene-GDPD3
GDPD4	gene-GDPD4
GDPD5	gene-GDPD5
GDPGP1	gene-GDPGP1
GEM	gene-GEM
GEMIN2	gene-GEMIN2
GEMIN4	gene-GEMIN4
GEMIN5	gene-GEMIN5
GEMIN6	gene-GEMIN6
GEN1	gene-GEN1
GET3	gene-GET3
GET4	gene-GET4
GFAP	gene-GFAP
GFI1	gene-GFI1
GFM1	gene-GFM1
GFM2	gene-GFM2
GFOD1	gene-GFOD1
GFOD2	gene-GFOD2
GFPT1	gene-GFPT1
GFRA2	gene-GFRA2
GFRA3	gene-GFRA3
GFRA4	gene-GFRA4
GFUS	gene-GFUS
GFY	gene-GFY
GGA1	gene-GGA1
GGA2	gene-GGA2
GGA3	gene-GGA3
GGACT	gene-GGACT
GGCT	gene-GGCT
GGCX	gene-GGCX
GGH	gene-GGH
GGN	gene-GGN
GGNBP2	gene-GGNBP2
GGPS1	gene-GGPS1
GGT5	gene-GGT5
GGT6	gene-GGT6
GGTA1	gene-GGTA1
GH1	gene-GH1
GHDC	gene-GHDC
GHITM	gene-GHITM
GHR	gene-GHR
GHRH	gene-GHRH
GHRHR	gene-GHRHR
GID4	gene-GID4
GID8	gene-GID8
GIGYF1	gene-GIGYF1
GIGYF2	gene-GIGYF2
GIMAP1	gene-GIMAP1
GIMAP2	gene-GIMAP2
GIMAP4	gene-GIMAP4
GIMAP8	gene-GIMAP8
GIN1	gene-GIN1
GINM1	gene-GINM1
GINS1	gene-GINS1
GINS2	gene-GINS2
GINS3	gene-GINS3
GINS4	gene-GINS4
GIPC1	gene-GIPC1
GIPC2	gene-GIPC2
GIT1	gene-GIT1
GIT2	gene-GIT2
GJA1	gene-GJA1
GJA10	gene-GJA10
GJA8	gene-GJA8
GJA9	gene-GJA9
GJB1	gene-GJB1
GJB2	gene-GJB2
GJC1	gene-GJC1
GJC2	gene-GJC2
GJD2	gene-GJD2
GK5	gene-GK5
GKAP1	gene-GKAP1
GLA	gene-GLA
GLB1	gene-GLB1
GLB1L	gene-GLB1L
GLB1L3	gene-GLB1L3
GLCCI1	gene-GLCCI1
GLCE	gene-GLCE
GLE1	gene-GLE1
GLG1	gene-GLG1
GLI1	gene-GLI1
GLI2	gene-GLI2
GLI3	gene-GLI3
GLI4	gene-GLI4
GLIPR1	gene-GLIPR1
GLIPR1L2	gene-GLIPR1L2
GLIS1	gene-GLIS1
GLIS2	gene-GLIS2
GLMN	gene-GLMN
GLMP	gene-GLMP
GLO1	gene-GLO1
GLOD4	gene-GLOD4
GLOD5	gene-GLOD5
GLRX	gene-GLRX
GLRX2	gene-GLRX2
GLRX3	gene-GLRX3
GLRX5	gene-GLRX5
GLS	gene-GLS
GLS2	gene-GLS2
GLT1D1	gene-GLT1D1
GLT6D1	gene-GLT6D1
GLT8D1	gene-GLT8D1
GLT8D2	gene-GLT8D2
GLTPD2	gene-GLTPD2
GLUL	gene-GLUL
GLYAT	gene-GLYAT
