run	cluster	gene	detected_fraction	mean_UMI
res0.5_seed0	2	CD2	0.024770642201834864	0.025688073394495414
res0.5_seed0	2	CD4	0.0027522935779816515	0.0027522935779816515
res0.5_seed0	2	CD8A	0.0	0.0
res0.5_seed0	2	CD8B	0.007339449541284404	0.007339449541284404
res0.5_seed0	2	LYZ	0.005504587155963303	0.005504587155963303
res0.5_seed0	2	LST1	0.06605504587155964	0.07155963302752294
res0.5_seed0	2	CSF1R	0.1743119266055046	0.25596330275229356
res0.5_seed0	2	MS4A1	0.0	0.0
res0.5_seed0	2	CD79A	0.001834862385321101	0.001834862385321101
res0.5_seed0	2	NKG7	0.001834862385321101	0.001834862385321101
res0.5_seed0	2	MKI67	0.047706422018348627	0.07064220183486239
res0.5_seed0	3	CD3D	0.007062146892655367	0.007062146892655367
res0.5_seed0	3	CD3E	0.009887005649717515	0.01694915254237288
res0.5_seed0	3	CD3G	0.00847457627118644	0.00847457627118644
res0.5_seed0	3	CD247	0.011299435028248588	0.015536723163841809
res0.5_seed0	3	LCK	0.014124293785310734	0.014124293785310734
res0.5_seed0	3	CD2	0.009887005649717515	0.011299435028248588
res0.5_seed0	3	CD4	0.002824858757062147	0.002824858757062147
res0.5_seed0	3	CD8A	0.0014124293785310734	0.0014124293785310734
res0.5_seed0	3	CD8B	0.011299435028248588	0.014124293785310734
res0.5_seed0	3	LYZ	0.0211864406779661	0.02401129943502825
res0.5_seed0	3	LST1	0.05084745762711865	0.05649717514124294
res0.5_seed0	3	CSF1R	0.11440677966101695	0.1751412429378531
res0.5_seed0	3	MS4A1	0.0	0.0
res0.5_seed0	3	CD79A	0.0014124293785310734	0.0014124293785310734
res0.5_seed0	3	NKG7	0.007062146892655367	0.00847457627118644
res0.5_seed0	3	MKI67	0.06497175141242938	0.23022598870056496
res0.5_seed0	4	CD3D	0.014522821576763486	0.016597510373443983
res0.5_seed0	4	CD3E	0.03112033195020747	0.043568464730290454
res0.5_seed0	4	CD3G	0.01867219917012448	0.02074688796680498
res0.5_seed0	4	CD247	0.012448132780082987	0.012448132780082987
res0.5_seed0	4	LCK	0.014522821576763486	0.014522821576763486
res0.5_seed0	4	CD2	0.07261410788381743	0.08506224066390042
res0.5_seed0	4	CD4	0.006224066390041493	0.006224066390041493
res0.5_seed0	4	CD8A	0.004149377593360996	0.004149377593360996
res0.5_seed0	4	CD8B	0.016597510373443983	0.02074688796680498
res0.5_seed0	4	LYZ	0.07468879668049792	0.12448132780082988
res0.5_seed0	4	LST1	0.24896265560165975	0.3049792531120332
res0.5_seed0	4	CSF1R	0.5705394190871369	1.6016597510373445
res0.5_seed0	4	MS4A1	0.0	0.0
res0.5_seed0	4	CD79A	0.002074688796680498	0.002074688796680498
res0.5_seed0	4	NKG7	0.002074688796680498	0.002074688796680498
res0.5_seed0	4	MKI67	0.08298755186721991	0.16597510373443983
res0.5_seed0	5	CD3D	0.035483870967741936	0.03870967741935484
res0.5_seed0	5	CD3E	0.04838709677419355	0.06129032258064516
res0.5_seed0	5	CD3G	0.012903225806451613	0.012903225806451613
res0.5_seed0	5	CD247	0.041935483870967745	0.04516129032258064
res0.5_seed0	5	LCK	0.012903225806451613	0.012903225806451613
res0.5_seed0	5	CD2	0.03225806451612903	0.035483870967741936
res0.5_seed0	5	CD4	0.0	0.0
res0.5_seed0	5	CD8A	0.0	0.0
res0.5_seed0	5	CD8B	0.025806451612903226	0.025806451612903226
res0.5_seed0	5	LYZ	0.00967741935483871	0.00967741935483871
res0.5_seed0	5	LST1	0.13870967741935483	0.17096774193548386
res0.5_seed0	5	CSF1R	0.22258064516129034	0.3419354838709677
res0.5_seed0	5	MS4A1	0.0	0.0
res0.5_seed0	5	CD79A	0.0	0.0
res0.5_seed0	5	NKG7	0.0064516129032258064	0.00967741935483871
res0.5_seed0	5	MKI67	0.5	1.461290322580645
res0.5_seed0	6	CD3D	0.008658008658008658	0.01038961038961039
res0.5_seed0	6	CD3E	0.015584415584415584	0.02077922077922078
res0.5_seed0	6	CD3G	0.011255411255411256	0.011255411255411256
res0.5_seed0	6	CD247	0.01904761904761905	0.025108225108225107
res0.5_seed0	6	LCK	0.01038961038961039	0.012121212121212121
res0.5_seed0	6	CD2	0.022510822510822513	0.02683982683982684
res0.5_seed0	6	CD4	0.008658008658008658	0.008658008658008658
res0.5_seed0	6	CD8A	0.0017316017316017316	0.0017316017316017316
res0.5_seed0	6	CD8B	0.011255411255411256	0.011255411255411256
res0.5_seed0	6	LYZ	0.007792207792207792	0.008658008658008658
res0.5_seed0	6	LST1	0.10476190476190476	0.11341991341991342
