gene	sample	reported_donor	mapping_status	raw_count	CPM	observation
CD3D	M_B7H3_CAR_T	M	exact_unique	5831	122.56411184497539	positive_assigned_pairs
CD3D	M_BC_CAR_T	M	exact_unique	4059	90.04714197492616	positive_assigned_pairs
CD3D	M_T_cell	M	exact_unique	9139	202.89303398881245	positive_assigned_pairs
CD3E	B_B7H3_CAR_T	B	exact_unique	35776	628.106086514064	positive_assigned_pairs
CD3E	B_BC_CAR_T	B	exact_unique	38256	683.5363910139764	positive_assigned_pairs
CD3E	B_T_cell	B	exact_unique	40147	827.8616661240313	positive_assigned_pairs
CD3E	E_B7H3_CAR_T	E	exact_unique	33303	672.6261495670274	positive_assigned_pairs
CD3E	E_BC_CAR_T	E	exact_unique	22090	558.8179267981402	positive_assigned_pairs
CD3E	E_T_cell	E	exact_unique	30023	807.1750639122254	positive_assigned_pairs
CD3E	M_B7H3_CAR_T	M	exact_unique	21642	454.9018193361271	positive_assigned_pairs
CD3E	M_BC_CAR_T	M	exact_unique	17770	394.21968782814434	positive_assigned_pairs
CD3E	M_T_cell	M	exact_unique	37400	830.3096040246838	positive_assigned_pairs
CD3G	B_B7H3_CAR_T	B	exact_unique	7234	127.00467994864545	positive_assigned_pairs
CD3G	B_BC_CAR_T	B	exact_unique	12170	217.44661957967622	positive_assigned_pairs
CD3G	B_T_cell	B	exact_unique	11211	231.1793443823079	positive_assigned_pairs
CD3G	E_B7H3_CAR_T	E	exact_unique	9735	196.61939062652047	positive_assigned_pairs
CD3G	E_BC_CAR_T	E	exact_unique	4807	121.60424509364691	positive_assigned_pairs
CD3G	E_T_cell	E	exact_unique	8909	239.5204557970228	positive_assigned_pairs
CD3G	M_B7H3_CAR_T	M	exact_unique	6844	143.85676238501313	positive_assigned_pairs
CD3G	M_BC_CAR_T	M	exact_unique	4246	94.19565529084417	positive_assigned_pairs
CD3G	M_T_cell	M	exact_unique	9707	215.50308359004293	positive_assigned_pairs
CD4	B_B7H3_CAR_T	B	exact_unique	3609	63.3618869138321	positive_assigned_pairs
CD4	B_BC_CAR_T	B	exact_unique	7101	126.87661837594749	positive_assigned_pairs
CD4	B_T_cell	B	exact_unique	8371	172.6163849633663	positive_assigned_pairs
CD4	E_B7H3_CAR_T	E	exact_unique	8004	161.6580999049481	positive_assigned_pairs
CD4	E_BC_CAR_T	E	exact_unique	3975	100.55687003271197	positive_assigned_pairs
CD4	E_T_cell	E	exact_unique	8298	223.0935842635195	positive_assigned_pairs
CD4	M_B7H3_CAR_T	M	exact_unique	8736	183.625464084669	positive_assigned_pairs
CD4	M_BC_CAR_T	M	exact_unique	5364	118.99799693360531	positive_assigned_pairs
CD4	M_T_cell	M	exact_unique	13406	297.62381153890135	positive_assigned_pairs
CD8A	B_B7H3_CAR_T	B	exact_unique	18118	318.0910687461374	positive_assigned_pairs
CD8A	B_BC_CAR_T	B	exact_unique	21131	377.55665721759556	positive_assigned_pairs
CD8A	B_T_cell	B	exact_unique	10047	207.17677932468536	positive_assigned_pairs
CD8A	E_B7H3_CAR_T	E	exact_unique	11633	234.95360772042247	positive_assigned_pairs
CD8A	E_BC_CAR_T	E	exact_unique	9168	231.92588288299456	positive_assigned_pairs
CD8A	E_T_cell	E	exact_unique	5680	152.70806924762482	positive_assigned_pairs
CD8A	M_B7H3_CAR_T	M	exact_unique	2467	51.854855757426556	positive_assigned_pairs
CD8A	M_BC_CAR_T	M	exact_unique	2291	50.82483426079227	positive_assigned_pairs
CD8A	M_T_cell	M	exact_unique	3972	88.1815440424076	positive_assigned_pairs
CD8B	B_B7H3_CAR_T	B	exact_unique	12365	217.0877616208185	positive_assigned_pairs
CD8B	B_BC_CAR_T	B	exact_unique	17105	305.62238520216613	positive_assigned_pairs
CD8B	B_T_cell	B	exact_unique	6456	133.12762887629827	positive_assigned_pairs
CD8B	E_B7H3_CAR_T	E	exact_unique	7675	155.0132329798197	positive_assigned_pairs
CD8B	E_BC_CAR_T	E	exact_unique	6704	169.59327212561033	positive_assigned_pairs
CD8B	E_T_cell	E	exact_unique	3228	86.7855013259389	positive_assigned_pairs
CD8B	M_B7H3_CAR_T	M	exact_unique	552	11.602707895459854	positive_assigned_pairs
CD8B	M_BC_CAR_T	M	exact_unique	469	10.40456013457511	positive_assigned_pairs
CD8B	M_T_cell	M	exact_unique	977	21.690173345778504	positive_assigned_pairs
CD9	B_B7H3_CAR_T	B	exact_unique	19	0.33357601866522857	positive_assigned_pairs
CD9	B_BC_CAR_T	B	exact_unique	40	0.7146971884295028	positive_assigned_pairs
CD9	B_T_cell	B	exact_unique	81	1.670281589061363	positive_assigned_pairs
CD9	E_B7H3_CAR_T	E	exact_unique	49	0.9896610314021062	positive_assigned_pairs
CD9	E_BC_CAR_T	E	exact_unique	27	0.6830277964486097	positive_assigned_pairs
CD9	E_T_cell	E	exact_unique	120	3.2262268150906652	positive_assigned_pairs
CD9	M_B7H3_CAR_T	M	exact_unique	189	3.9726662902933194	positive_assigned_pairs
CD9	M_BC_CAR_T	M	exact_unique	98	2.1740871922992766	positive_assigned_pairs
CD9	M_T_cell	M	exact_unique	247	5.483595513211148	positive_assigned_pairs
COLGALT2	B_B7H3_CAR_T	B	exact_unique	5	0.0877831628066391	positive_assigned_pairs
COLGALT2	B_BC_CAR_T	B	exact_unique	3	0.05360228913221271	positive_assigned_pairs
COLGALT2	B_T_cell	B	exact_unique	0	0.0	zero_assigned_pairs
COLGALT2	E_B7H3_CAR_T	E	exact_unique	2	0.04039432781233086	positive_assigned_pairs
COLGALT2	E_BC_CAR_T	E	exact_unique	0	0.0	zero_assigned_pairs
COLGALT2	E_T_cell	E	exact_unique	9	0.2419670111317999	positive_assigned_pairs
