sample	run	input_pairs	unique_pct	assigned_unstranded	assigned_pct	forward_share	removed_reads	q30
B_B7H3_CAR_T	SRR26729600	71312581	92.35	56941567	79.84785601856144	0.5003579483643996	880	1
B_BC_CAR_T	SRR26729599	73105889	92.08	55946103	76.52749151302982	0.5018967598308964	458	1
B_T_cell	SRR26729598	63103725	91.46	48477298	76.82161076861945	0.500915090393384	374	1
E_B7H3_CAR_T	SRR26729597	63968677	93.26	49493373	77.37126250086429	0.5018081044142709	458	1
E_BC_CAR_T	SRR26729596	50056953	93.1	39518174	78.94642328709061	0.5012146186840538	258	1
E_T_cell	SRR26729595	47628160	93.54	37180496	78.06410325320147	0.5014548216206411	362	1
M_B7H3_CAR_T	SRR26729594	63529252	89.13	47561770	74.86593734804244	0.5017810089741103	370	1
M_BC_CAR_T	SRR26729593	58110849	90.91	45062846	77.54635627505631	0.5020618965478969	252	1
M_T_cell	SRR26729592	59387857	89.52	45031380	75.82590494888542	0.501841841373695	318	1
